,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Sinclair, Thomas R",114,105,9,6,1,1,0,0
"Xie, DeYu",62,57,5,7,1,1,0,0
"BalintKurti, Peter J",80,29,51,17,0,0,0,0
"Iorizzo, Massimo",85,51,34,7,5,5,0,0
"Lewis, Ramsey S",48,34,14,8,0,0,0,0
"Chaudhari, Sushila",36,14,22,9,0,0,0,0
"Stepanova, Anna N",44,7,37,6,11,4,7,3
"Garcia, Kevin",33,30,3,3,3,3,0,0
"Holland, James B",78,54,24,13,0,0,0,0
"Panthee, Dilip R",33,22,11,7,3,3,0,0
"MillaLewis, Susana R",49,17,32,8,0,0,0,0
"Kuraparthy, Vasu",25,22,3,5,1,1,0,0
"Cardoso, Amanda A",23,19,4,6,0,0,0,0
"Leon, Ramon G",120,61,59,19,1,1,0,0
"Xiang, QiuYun J",31,21,10,8,0,0,0,0
"Chiang, Vincent L",50,15,35,6,0,0,0,0
"Liu, Wusheng",29,22,7,6,3,3,0,0
"Long, Terri A",25,12,13,3,7,4,3,3
"Mian, M A Rouf",56,37,19,3,0,0,0,0
"Castillo, Miguel S",36,29,7,5,3,3,0,0
"Cowger, Christina",70,57,13,9,0,0,0,0
"Doherty, Colleen J",33,22,11,5,8,5,3,1
"Hernandez, Ricardo",20,12,8,6,2,2,0,0
"HulseKemp, Amanda M",42,26,16,15,0,0,0,0
"Reisig, Dominic D",121,80,41,11,9,9,0,0
"Sederoff, Heike W",31,15,16,8,3,3,0,0
"Sozzani, Rossangela",68,47,21,8,11,8,3,2
"Adhikari, Tika B",28,16,12,6,1,1,0,0
"Ahmad, Iftikhar",12,2,10,2,0,0,0,0
"Alonso, Jose M",48,11,37,6,6,0,6,2
"Cahoon, Charles W",35,7,28,12,1,1,0,0
"Fallen, Benjamin D",25,12,13,2,0,0,0,0
"Huseth, Anders S",72,32,40,12,6,6,0,0
"Li, Xuefeng",37,26,11,11,1,1,0,0
"Lila, Mary Ann",132,93,39,8,7,7,0,0
"QuesadaOcampo, Lina M",79,68,11,6,0,0,0,0
"Ristaino, Jean Beagle",41,28,13,5,3,2,1,1
"Yencho, George Craig",67,36,31,10,4,4,0,0
"Dean, Ralph A",30,23,7,5,3,3,0,0
"Franks, Robert G",15,10,5,5,5,5,0,0
"Haigler, Candace H",27,24,3,4,0,0,0,0
"Hsieh, TzungFu",27,26,1,1,0,0,0,0
"Hu, Shuijin",146,138,8,4,2,2,0,0
"Locke, Anna M",29,10,19,10,0,0,0,0
"Suchoff, David H",30,20,10,11,5,5,0,0
"Wehner, Todd C",33,26,7,4,0,0,0,0
"Dewey, Ralph E",14,4,10,5,0,0,0,0
"Dole, John M",28,14,14,6,3,3,0,0
"Hawkes, Christine V",24,18,6,8,4,4,0,0
"Lindsey, Jonathan S",150,85,65,1,5,5,0,0
"Meadows, Inga M",18,13,5,7,0,0,0,0
"Qu, Rongda",11,6,5,6,0,0,0,0
"Sederoff, Ronald R",40,13,27,5,0,0,0,0
"Strable, Josh",12,10,2,2,0,0,0,0
"Taliercio, Earl",25,9,16,5,0,0,0,0
"Wang, Jack P",41,11,30,8,0,0,0,0
"Wei, Qingshan",73,59,14,4,5,4,1,1
"Williams, Cranos M",49,19,30,10,6,1,5,5
"Winn, Zachary James",11,3,8,3,0,0,0,0
"Yu, Xingwang",23,10,13,5,0,0,0,0
"Ashrafi, Hamid",28,11,17,13,4,4,0,0
"Everman, Wesley J",67,20,47,16,1,1,0,0
"Ferruzzi, Mario G",114,90,24,4,1,1,0,0
"Grunden, Amy M",48,41,7,10,8,5,3,2
"HanleyBowdoin, Linda",38,13,25,5,0,0,0,0
"Jeffries, Matthew D",17,0,17,1,0,0,0,0
"Jones, Zachary G",6,6,0,0,0,0,0,0
"Jordan, David L",129,52,77,23,1,1,0,0
"Livingston, David P",29,17,12,8,0,0,0,0
"Moore, Levi D",10,0,10,9,0,0,0,0
"Ojiambo, Peter S",42,29,13,6,2,2,0,0
"PerkinsVeazie, Penelope",47,18,29,19,0,0,0,0
"Sims, Kira C",4,0,4,2,0,0,0,0
"Tisdale, Ripley H",8,0,8,2,0,0,0,0
"Vann, Rachel A",43,22,21,10,0,0,0,0
"Whipker, Brian E",39,14,25,10,0,0,0,0
"AscencioIbanez, Jose Trinidad",23,7,16,4,0,0,0,0
"Basinger, Nicholas T",9,1,8,6,0,0,0,0
"BrownGuedira, Gina",77,49,28,10,0,0,0,0
"Burkey, Kent",39,26,13,3,1,1,0,0
"Burrack, Hannah J",74,66,8,6,4,4,0,0
"Cheng, Jay J",42,42,0,0,0,0,0,0
"Dunne, Jeffrey C",33,6,27,15,3,3,0,0
"Heiling, Jacob M",6,6,0,0,0,0,0,0
"Hoffmann, Mark",18,11,7,8,3,3,0,0
"Hoffmann, William A",40,34,6,5,1,1,0,0
"Howell, Andrew W",10,6,4,3,0,0,0,0
"Isik, Fikret",51,37,14,6,5,5,0,0
"Jackson, Brian E",30,26,4,2,0,0,0,0
"Kleiner, Manuel",88,77,11,8,8,5,3,2
"Komarnytsky, Slavko",54,43,11,2,2,2,0,0
"Krings, Alexander",19,17,2,2,2,2,0,0
"Lin, Jixiang",6,6,0,0,0,0,0,0
"Moparthi, Swarnalatha",16,14,2,4,0,0,0,0
"Perera, Imara Y",18,11,7,3,8,2,6,3
"RojasPierce, Marcela",16,10,6,6,0,0,0,0
"Rotenberg, Dorith",27,7,20,5,2,2,0,0
"Shi, Wei",31,26,5,5,6,6,0,0
"Wear, Emily E",13,1,12,1,0,0,0,0
"Whitfield, Anna E",49,27,22,5,3,3,0,0
"Xu, Guozhou",9,9,0,0,1,1,0,0
"Bandillo, Nonoy",8,8,0,0,0,0,0,0
"Beets, Jens P",2,1,1,1,0,0,0,0
"Bittner, Richard J",3,1,2,1,0,0,0,0
"Bradshaw, Michael",16,14,2,2,1,1,0,0
"Braswell, Lewis R",7,0,7,6,0,0,0,0
"Caldwell, Jane M",2,2,0,0,0,0,0,0
"Chen, Hsuan",16,7,9,4,0,0,0,0
"Clouse, Steven D",7,7,0,0,0,0,0,0
"Cubeta, Marc A",37,26,11,9,1,1,0,0
"D'Ambrosio, Damon A",7,1,6,1,0,0,0,0
"DaSilva, Cristiane Jovelina",6,5,1,1,0,0,0,0
"Dean, Brock A",3,0,3,5,0,0,0,0
"Dorman, Seth J",14,0,14,2,0,0,0,0
"Duin, Izabela Moura",7,7,0,0,0,0,0,0
"Gannon, Travis W",63,26,37,14,1,1,0,0
"Gouveia, Beatriz Tome",18,2,16,5,0,0,0,0
"Havlin, John L",9,9,0,0,0,0,0,0
"Henry, Josh B",11,0,11,4,0,0,0,0
"Huber, Brandon M",3,0,3,2,0,0,0,0
"Ippolito, Stephen J",5,0,5,7,0,0,0,0
"Israel, Daniel W",4,4,0,0,0,0,0,0
"Jones, Eric A L",13,1,12,4,0,0,0,0
"Kim, SaetByul",9,0,9,6,0,0,0,0
"Koehler, Alyssa M",10,8,2,1,0,0,0,0
"Kon, Thomas M",15,13,2,1,1,1,0,0
"Kulesza, Stephanie",7,4,3,3,1,1,0,0
"Larsen, Joshua",2,0,2,1,0,0,0,0
"Marchin, Renee M",3,1,2,1,0,0,0,0
"McKnight, Alayne M",2,0,2,1,0,0,0,0
"McPhie, Douglas",2,0,2,1,0,0,0,0
"Meyers, Stephen L",21,11,10,5,0,0,0,0
"Mila, Asimina L",4,2,2,1,0,0,0,0
"Moore, Virginia Mae",8,5,3,3,1,1,0,0
"Opperman, Charles H",29,17,12,2,1,1,0,0
"Pal, Gaurav",7,4,3,4,0,0,0,0
"Payne, Gary A",17,10,7,4,1,1,0,0
"Perlmutter, Gary B",4,4,0,0,0,0,0,0
"Petersen, Stine",2,0,2,2,0,0,0,0
"Pezzini, Daniela T",8,5,3,1,0,0,0,0
