Corresponding Authors,Pubs Num
"Kaya, Ozkan",28
"Rahman, Mukhlesur",22
"Osorno, Juan M",13
"Cai, Xiwen",12
"HattermanValenti, Harlene M",11
"Zhong, Shaobin",10
"Bandillo, Nonoy B",9
"Berti, Marisol T",9
"Li, Xuehui",9
"Carena, Marcelo J",8
"Dai, Wenhao",8
"Khan, Mohamed F R",8
"Liu, Zhaohui",8
"Lym, Rodney G",8
"McClean, Phillip E",8
"Pasche, Julie S",8
"Elias, Elias M",7
"Friesen, Timothy L",7
"Acevedo, Maricelis",6
"Brueggeman, Robert S",6
"Chatterjee, Amitava",6
"Chen, Bingcan",6
"Li, Deying",6
"Yan, Guiping",6
"Yang, Shengming",6
"Green, Andrew J",5
"Marais, Gideon Francois",5
"Bolton, Melvin D",4
"Gill, Upinder S",4
"Gudmestad, Neil C",4
"Hamilton, Jill A",4
"McGranahan, Devan Allen",4
"Nelson, Berlin D",4
"Travers, Steven E",4
"Banerjee, Samiran",3
"Del Rio Mendoza, Luis E",3
"Gramig, Greta G",3
"Mergoum, Mohamed",3
"Roy, Jayanta",3
"Shetty, Kalidas",3
"Soltani, Ali",3
"Valentini, Giseli",3
"AldrichWolfe, Laura",2
"Aoun, Meriem",2
"Augustin, Christopher Lee",2
"CallesTorrez, Veronica",2
"Chitrampalam, Periasamy",2
"Cihacek, L J",2
"DeKeyser, Edward S",2
"Esslinger, Theodore L",2
"Flores, Paulo",2
"Gupta, Debjyoti Sen",2
"Helms, T C",2
"Kianian, Shahryar F",2
"Kumar, Ajay",2
"McPhee, Kevin",2
"Moghaddam, Samira Mafi",2
"Oladzad, Atena",2
"Palit, Rakhi",2
"Peters, Thomas J",2
"Pru, Birgit M",2
"Rao, Jiajia",2
"Rhee, Yeong",2
"Schmitz, Peder K",2
"Schwarz, Paul B",2
"Stanley, Jordan D",2
