,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Kaya, Ozkan",53,32,21,1,0,0,0,0
"Rahman, Mukhlesur",34,22,12,5,4,4,0,0
"Osorno, Juan M",53,14,39,14,0,0,0,0
"Cai, Xiwen",42,20,22,9,3,3,0,0
"HattermanValenti, Harlene M",62,34,28,6,0,0,0,0
"Zhong, Shaobin",61,18,43,20,2,2,0,0
"Bandillo, Nonoy B",32,7,25,12,1,1,0,0
"Berti, Marisol T",47,37,10,5,7,7,0,0
"Li, Xuehui",39,11,28,18,3,3,0,0
"Carena, Marcelo J",9,9,0,0,0,0,0,0
"Dai, Wenhao",13,12,1,3,1,1,0,0
"Khan, Mohamed F R",49,31,18,6,0,0,0,0
"Liu, Zhaohui",78,26,52,16,2,2,0,0
"Lym, Rodney G",10,10,0,0,0,0,0,0
"McClean, Phillip E",70,18,52,17,3,3,0,0
"Pasche, Julie S",44,16,28,13,0,0,0,0
"Elias, Elias M",45,11,34,13,0,0,0,0
"Friesen, Timothy L",68,19,49,12,1,0,1,1
"Acevedo, Maricelis",18,3,15,12,0,0,0,0
"Brueggeman, Robert S",53,20,33,15,3,2,1,1
"Chatterjee, Amitava",73,65,8,7,1,1,0,0
"Chen, Bingcan",151,41,110,8,3,3,0,0
"Li, Deying",15,15,0,0,0,0,0,0
"Yan, Guiping",50,40,10,5,2,2,0,0
"Yang, Shengming",18,5,13,7,0,0,0,0
"Green, Andrew J",26,15,11,12,1,1,0,0
"Marais, Gideon Francois",9,3,6,3,0,0,0,0
"Bolton, Melvin D",31,22,9,6,0,0,0,0
"Gill, Upinder S",33,22,11,11,2,2,0,0
"Gudmestad, Neil C",40,26,14,2,0,0,0,0
"Hamilton, Jill A",23,23,0,0,1,1,0,0
"McGranahan, Devan Allen",45,39,6,2,2,2,0,0
"Nelson, Berlin D",26,15,11,10,1,1,0,0
"Travers, Steven E",10,7,3,3,0,0,0,0
"Banerjee, Samiran",49,48,1,1,1,1,0,0
"Del Rio Mendoza, Luis E",26,7,19,10,0,0,0,0
"Gramig, Greta G",20,18,2,3,3,3,0,0
"Mergoum, Mohamed",28,5,23,12,0,0,0,0
"Roy, Jayanta",16,1,15,6,0,0,0,0
"Shetty, Kalidas",93,89,4,3,1,1,0,0
"Soltani, Ali",7,0,7,6,0,0,0,0
"Valentini, Giseli",4,1,3,3,0,0,0,0
"AldrichWolfe, Laura",14,10,4,5,0,0,0,0
"Aoun, Meriem",11,1,10,6,0,0,0,0
"Augustin, Christopher Lee",3,3,0,0,0,0,0,0
"CallesTorrez, Veronica",4,4,0,0,0,0,0,0
"Chitrampalam, Periasamy",4,1,3,4,0,0,0,0
"Cihacek, L J",3,3,0,0,0,0,0,0
"DeKeyser, Edward S",24,20,4,4,0,0,0,0
"Esslinger, Theodore L",7,7,0,0,0,0,0,0
"Flores, Paulo",22,9,13,4,1,1,0,0
"Gupta, Debjyoti Sen",5,3,2,1,0,0,0,0
"Helms, T C",2,2,0,0,0,0,0,0
"Kianian, Shahryar F",18,3,15,8,0,0,0,0
"Kumar, Ajay",31,6,25,10,0,0,0,0
"McPhee, Kevin",13,2,11,6,0,0,0,0
"Moghaddam, Samira Mafi",9,0,9,5,0,0,0,0
"Oladzad, Atena",11,0,11,7,0,0,0,0
"Palit, Rakhi",3,1,2,2,0,0,0,0
"Peters, Thomas J",14,12,2,2,0,0,0,0
"Pru, Birgit M",15,15,0,0,0,0,0,0
"Rao, Jiajia",122,13,109,8,3,3,0,0
"Rhee, Yeong",47,47,0,0,0,0,0,0
"Schmitz, Peder K",5,3,2,1,0,0,0,0
"Schwarz, Paul B",33,12,21,5,0,0,0,0
"Stanley, Jordan D",7,5,2,1,0,0,0,0
