Corresponding Authors,Pubs Num
"Yan, Liuling",21
"Sunkar, Ramanjulu",18
"Dunn, Bruce L",15
"Tadege, Million",14
"Wu, Yanqi Q",10
"Yang, Ming",8
"Doust, Andrew N",7
"Huang, Yinghua",6
"Mysore, Kirankumar S",6
"Allen, Randy D",5
"Raun, William R",5
"Arnall, Daryl Brian",4
"Lofton, Josh",4
"Wen, Jiangqi",4
"Xu, Tingying",4
"Zhang, Lu",4
"Baath, Gurjinder S",3
"Bushong, Jacob T",3
"Carver, Brett F",3
"Chen, Charles",3
"Dee, Justin R",3
"Espindola, Andres S",3
"Fishbein, Mark",3
"Fletcher, Jacqueline",3
"Omara, Peter",3
"Amgain, Naba R",2
"Aoun, Meriem",2
"Burnap, Robert L",2
"Cobb, Adam B",2
"Crose, Jodie A",2
"Deng, Shiping",2
"Dhillon, Jagmandeep",2
"Duell, Eric B",2
"Feng, Feng",2
"Fornah, Alimamy",2
"Hammond, William M",2
"Hayashida, Rafael",2
"Hoback, W Wyatt",2
"Manuchehri, Misha R",2
"Marburger, David A",2
"McDonnell, Angela",2
"Meinke, David W",2
Oklahoma State University; Oklahoma State University),2
"Primka, Edward J",2
"Schonknecht, Gerald",2
"Shrestha, Swati",2
"Singh, Hardeep",2
"Wang, Ning",2
"Zhou, Yuting",2
"Zou, Chris B",2
