,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Yan, Liuling",41,16,25,7,2,2,0,0
"Sunkar, Ramanjulu",53,53,0,0,3,3,0,0
"Dunn, Bruce L",47,28,19,5,1,1,0,0
"Tadege, Million",48,32,16,6,3,3,0,0
"Wu, Yanqi Q",80,66,14,7,0,0,0,0
"Yang, Ming",17,15,2,1,0,0,0,0
"Doust, Andrew N",17,16,1,2,4,3,1,2
"Huang, Yinghua",18,15,3,3,0,0,0,0
"Mysore, Kirankumar S",52,20,32,4,2,1,1,1
"Allen, Randy D",12,6,6,2,1,1,0,0
"Raun, William R",50,6,44,8,1,1,0,0
"Arnall, Daryl Brian",48,24,24,9,4,4,0,0
"Lofton, Josh",25,20,5,2,5,5,0,0
"Wen, Jiangqi",53,20,33,3,1,0,1,1
"Xu, Tingying",15,12,3,1,3,3,0,0
"Zhang, Lu",24,15,9,5,2,2,0,0
"Baath, Gurjinder S",15,7,8,1,0,0,0,0
"Bushong, Jacob T",10,1,9,4,0,0,0,0
"Carver, Brett F",72,36,36,8,1,1,0,0
"Chen, Charles",34,30,4,2,3,2,1,2
"Dee, Justin R",9,8,1,1,0,0,0,0
"Espindola, Andres S",24,24,0,0,0,0,0,0
"Fishbein, Mark",19,15,4,1,3,2,1,2
"Fletcher, Jacqueline",24,24,0,0,0,0,0,0
"Omara, Peter",23,3,20,5,0,0,0,0
"Amgain, Naba R",3,2,1,1,0,0,0,0
"Aoun, Meriem",10,6,4,1,2,2,0,0
"Burnap, Robert L",29,29,0,0,6,6,0,0
"Cobb, Adam B",22,20,2,2,1,1,0,0
"Crose, Jodie A",3,1,2,1,0,0,0,0
"Deng, Shiping",19,17,2,1,1,1,0,0
"Dhillon, Jagmandeep",13,2,11,4,0,0,0,0
"Duell, Eric B",14,12,2,2,0,0,0,0
"Feng, Feng",8,6,2,3,1,1,0,0
"Fornah, Alimamy",9,1,8,4,0,0,0,0
"Hammond, William M",10,8,2,2,0,0,0,0
"Hayashida, Rafael",14,8,6,1,0,0,0,0
"Hoback, W Wyatt",40,34,6,1,0,0,0,0
"Manuchehri, Misha R",17,13,4,3,1,1,0,0
"Marburger, David A",12,8,4,3,1,1,0,0
"McDonnell, Angela",4,0,4,1,0,0,0,0
"Meinke, David W",3,3,0,0,0,0,0,0
Oklahoma State University; Oklahoma State University),0,0,0,0,0,0,0,0
"Primka, Edward J",4,3,1,1,0,0,0,0
"Schonknecht, Gerald",3,3,0,0,0,0,0,0
"Shrestha, Swati",6,6,0,0,0,0,0,0
"Singh, Hardeep",25,2,23,4,0,0,0,0
"Wang, Ning",30,29,1,2,0,0,0,0
"Zhou, Yuting",27,27,0,0,0,0,0,0
"Zou, Chris B",69,67,2,2,0,0,0,0
