Corresponding Authors,Pubs Num
"Wang, GuoLiang",28
"Kinghorn, A Douglas",16
"Xia, Ye",11
"Jones, Michelle L",10
"Dobritsa, Anna A",9
"Stewart, Lucy R",9
"Dorrance, Anne E",8
"Fresnedo Ramirez, Jonathan",8
"McHale, Leah K",8
"Rakotondraibe, Harinantenaina L",7
"Somers, David E",7
"Stuessy, Tod F",7
"Bisaro, David M",6
"Cornish, Katrina",6
"Francis, David Merrill",6
"Lindsey, Alexander J",6
"Miller, Sally A",6
"Samarakoon, Uttara C",6
"Sneller, Clay H",6
"Blakeslee, Joshua J",5
"Gschwend, Andrea R",5
"Hopkins, Jacob R",5
"Meier, Iris",5
"Cooperstone, Jessica L",4
"Islam, Khandakar Rafiq",4
"Qu, Feng",4
"Wu, Jian",4
"de Blanco, Esperanza J Carcache",4
"Bennett, Alison E",3
"Dami, Imed E",3
"Freudenstein, John V",3
"Mackey, David",3
"Madden, Laurence V",3
"Mercer, Kristin L",3
"van der Knaap, Esther",3
"Drewry, Darren T",2
"Eck, Jenalle L",2
"Fetters, Andrea M",2
"Giusti, M Monica",2
"Grotewold, Erich",2
"Hamel, Patrice Paul",2
"Hollick, Jay B",2
"Hung, KengLou James",2
"Husbands, Aman Y",2
"Ivey, Melanie L Lewis",2
"Jang, JyanChyun",2
"Kubota, Chieri",2
"Lal, Rattan",2
"Lindsey, Laura E",2
"Ling, Peter P",2
"Michel, Andy",2
"Pugliese, Jennie Y",2
"Redinbaugh, Margaret G",2
"Ren, Yulin",2
"Saba, Beenish",2
"Sprunger, Christine D",2
"Stone, Benjamin W",2
"Sulc, R Mark",2
"Wang, Ying",2
