,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Wang, GuoLiang",95,88,7,5,0,0,0,0
"Kinghorn, A Douglas",70,30,40,3,0,0,0,0
"Xia, Ye",39,33,6,3,2,2,0,0
"Jones, Michelle L",20,19,1,2,3,3,0,0
"Dobritsa, Anna A",15,15,0,0,4,4,0,0
"Stewart, Lucy R",20,10,10,2,0,0,0,0
"Dorrance, Anne E",51,30,21,5,1,1,0,0
"Fresnedo Ramirez, Jonathan",18,15,3,2,0,0,0,0
"McHale, Leah K",33,13,20,7,0,0,0,0
"Rakotondraibe, Harinantenaina L",24,16,8,3,0,0,0,0
"Somers, David E",19,19,0,0,7,6,1,1
"Stuessy, Tod F",29,28,1,1,0,0,0,0
"Bisaro, David M",16,6,10,1,1,1,0,0
"Cornish, Katrina",65,54,11,3,4,4,0,0
"Francis, David Merrill",36,15,21,5,1,1,0,0
"Lindsey, Alexander J",44,31,13,3,5,5,0,0
"Miller, Sally A",52,42,10,3,0,0,0,0
"Samarakoon, Uttara C",9,7,2,1,0,0,0,0
"Sneller, Clay H",25,23,2,3,3,3,0,0
"Blakeslee, Joshua J",21,13,8,7,2,2,0,0
"Gschwend, Andrea R",11,9,2,2,1,1,0,0
"Hopkins, Jacob R",12,6,6,1,1,1,0,0
"Meier, Iris",14,13,1,1,2,2,0,0
"Cooperstone, Jessica L",35,22,13,2,4,4,0,0
"Islam, Khandakar Rafiq",24,24,0,0,1,1,0,0
"Qu, Feng",24,20,4,2,2,2,0,0
"Wu, Jian",16,6,10,1,0,0,0,0
"de Blanco, Esperanza J Carcache",17,9,8,3,0,0,0,0
"Bennett, Alison E",33,26,7,2,3,3,0,0
"Dami, Imed E",6,4,2,3,0,0,0,0
"Freudenstein, John V",17,16,1,1,0,0,0,0
"Mackey, David",20,18,2,1,2,2,0,0
"Madden, Laurence V",32,30,2,2,0,0,0,0
"Mercer, Kristin L",23,15,8,5,4,4,0,0
"van der Knaap, Esther",9,2,7,6,0,0,0,0
"Drewry, Darren T",12,11,1,1,3,3,0,0
"Eck, Jenalle L",3,3,0,0,1,1,0,0
"Fetters, Andrea M",3,3,0,0,0,0,0,0
"Giusti, M Monica",51,51,0,0,0,0,0,0
"Grotewold, Erich",8,8,0,0,5,4,1,1
"Hamel, Patrice Paul",11,11,0,0,1,1,0,0
"Hollick, Jay B",2,2,0,0,2,2,0,0
"Hung, KengLou James",5,5,0,0,0,0,0,0
"Husbands, Aman Y",12,11,1,1,1,1,0,0
"Ivey, Melanie L Lewis",18,13,5,2,2,2,0,0
"Jang, JyanChyun",13,8,5,2,0,0,0,0
"Kubota, Chieri",20,19,1,1,1,1,0,0
"Lal, Rattan",273,267,6,2,7,7,0,0
"Lindsey, Laura E",69,45,24,6,4,4,0,0
"Ling, Peter P",11,9,2,1,1,1,0,0
"Michel, Andy",13,11,2,4,4,4,0,0
"Pugliese, Jennie Y",3,1,2,1,0,0,0,0
"Redinbaugh, Margaret G",17,6,11,3,0,0,0,0
"Ren, Yulin",34,3,31,3,0,0,0,0
"Saba, Beenish",19,12,7,1,0,0,0,0
"Sprunger, Christine D",27,23,4,3,0,0,0,0
"Stone, Benjamin W",4,4,0,0,0,0,0,0
"Sulc, R Mark",11,10,1,2,0,0,0,0
"Wang, Ying",27,22,5,2,1,1,0,0
