Corresponding Authors,Pubs Num
"Strauss, Steven H",25
"Naithani, Sushma",19
"Zheljazkov, Valtcho D",19
"Hayes, Patrick M",14
"Jaiswal, Pankaj",10
"Nonogaki, Hiroyuki",10
"Rossman, Amy Y",10
"McCune, Bruce",8
"Moretti, Marcelo L",8
"Rothwell, Gar W",8
"Goyer, Aymeric",6
"Henning, John A",6
"Myers, James R",6
"Tyler, Brett M",6
"Vining, Kelly J",6
"CarbonellMoore, M Consuelo",5
"Deluc, Laurent G",5
"Fowler, John E",5
"Mahmud, Taifo",5
"Megraw, Molly",5
"Reed, Barbara M",5
"Smith, Robert J",5
"Stockey, Ruth A",5
"Anderson, Jeffrey C",4
"Gent, David H",4
"LeBoldus, Jared M",4
"McPhail, Kerry L",4
"ALagele, Hadi A",3
"Aydemir, Emine Serap Kizil",3
"Liu, Mingyang",3
"Loesgen, Sandra",3
"Maier, Claudia S",3
"Mehlenbacher, Shawn A",3
"Nackley, Lloyd L",3
"Philmus, Benjamin",3
"Poinar, George O",3
"Pscheidt, Jay W",3
"Qian, Michael C",3
"Sathuvalli, Vidyasagar",3
"Shaw, David C",3
"Thoma, Jena L",3
"Abdallah, Mohamed A B",2
"Arstingstall, Katherine A",2
"Brown, Matthew",2
"DeLuca, Thomas H",2
"Di Meglio, Joseph R",2
"Elias, Sabry G",2
"Feuillet, Christian",2
"Griffith, Daniel M",2
"Hagerty, Christina H",2
"Halsey, Kimberly H",2
"Hendrix, David A",2
"Hernandez, Javier",2
"Johnson, K B",2
"Leimberger, Kara G",2
"Levin, Alexander D",2
"Liston, Aaron",2
"Louhaichi, Mounir",2
"Lukas, Scott B",2
"Mollov, Dimitre",2
"Mundt, Christopher C",2
"Nagle, Michael F",2
"Nelson, Peter R",2
"Phalan, Ben",2
"Phillips, Claire L",2
"Stone, Daphne Fisher",2
"Tomasino, Elizabeth",2
"Viskovic, Jelena",2
"Wada, Sugae",2
"Wang, Ruying",2
"Zhao, Yanyun",2
