,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Strauss, Steven H",55,43,12,3,4,2,2,2
"Naithani, Sushma",52,30,22,2,2,2,0,0
"Zheljazkov, Valtcho D",103,97,6,2,0,0,0,0
"Hayes, Patrick M",56,42,14,6,2,2,0,0
"Jaiswal, Pankaj",59,32,27,8,5,4,1,1
"Nonogaki, Hiroyuki",15,13,2,1,0,0,0,0
"Rossman, Amy Y",31,31,0,0,0,0,0,0
"McCune, Bruce",57,39,18,5,0,0,0,0
"Moretti, Marcelo L",25,24,1,1,5,5,0,0
"Rothwell, Gar W",38,13,25,2,0,0,0,0
"Goyer, Aymeric",13,9,4,2,4,3,1,1
"Henning, John A",21,6,15,3,0,0,0,0
"Myers, James R",28,27,1,1,5,4,1,2
"Tyler, Brett M",62,61,1,2,4,4,0,0
"Vining, Kelly J",39,27,12,8,2,1,1,1
"CarbonellMoore, M Consuelo",19,19,0,0,0,0,0,0
"Deluc, Laurent G",14,13,1,1,1,1,0,0
"Fowler, John E",14,13,1,1,2,2,0,0
"Mahmud, Taifo",65,58,7,2,5,5,0,0
"Megraw, Molly",17,15,2,2,0,0,0,0
"Reed, Barbara M",13,10,3,2,0,0,0,0
"Smith, Robert J",13,8,5,3,0,0,0,0
"Stockey, Ruth A",29,4,25,2,0,0,0,0
"Anderson, Jeffrey C",17,14,3,2,3,2,1,1
"Gent, David H",83,69,14,3,0,0,0,0
"LeBoldus, Jared M",41,38,3,3,2,2,0,0
"McPhail, Kerry L",44,41,3,2,1,1,0,0
"ALagele, Hadi A",8,4,4,1,0,0,0,0
"Aydemir, Emine Serap Kizil",3,3,0,0,0,0,0,0
"Liu, Mingyang",6,5,1,1,0,0,0,0
"Loesgen, Sandra",32,31,1,1,2,2,0,0
"Maier, Claudia S",89,86,3,3,0,0,0,0
"Mehlenbacher, Shawn A",15,12,3,2,2,2,0,0
"Nackley, Lloyd L",28,16,12,5,3,3,0,0
"Philmus, Benjamin",31,21,10,4,0,0,0,0
"Poinar, George O",93,93,0,0,0,0,0,0
"Pscheidt, Jay W",30,25,5,2,0,0,0,0
"Qian, Michael C",63,62,1,1,0,0,0,0
"Sathuvalli, Vidyasagar",20,11,9,4,0,0,0,0
"Shaw, David C",35,34,1,1,1,1,0,0
"Thoma, Jena L",4,0,4,1,0,0,0,0
"Abdallah, Mohamed A B",13,10,3,1,0,0,0,0
"Arstingstall, Katherine A",2,2,0,0,0,0,0,0
"Brown, Matthew",3,2,1,1,0,0,0,0
"DeLuca, Thomas H",25,25,0,0,1,1,0,0
"Di Meglio, Joseph R",3,1,2,1,0,0,0,0
"Elias, Sabry G",7,7,0,0,1,1,0,0
"Feuillet, Christian",2,2,0,0,0,0,0,0
"Griffith, Daniel M",21,21,0,0,2,2,0,0
"Hagerty, Christina H",17,8,9,4,1,0,1,2
"Halsey, Kimberly H",43,42,1,1,2,2,0,0
"Hendrix, David A",34,24,10,7,2,2,0,0
"Hernandez, Javier",8,0,8,2,0,0,0,0
"Johnson, K B",6,6,0,0,0,0,0,0
"Leimberger, Kara G",6,5,1,1,0,0,0,0
"Levin, Alexander D",21,15,6,4,0,0,0,0
"Liston, Aaron",42,41,1,2,2,2,0,0
"Louhaichi, Mounir",23,20,3,1,0,0,0,0
"Lukas, Scott B",11,11,0,0,4,4,0,0
"Mollov, Dimitre",23,23,0,0,0,0,0,0
"Mundt, Christopher C",32,26,6,2,3,2,1,2
"Nagle, Michael F",11,0,11,2,0,0,0,0
"Nelson, Peter R",7,1,6,2,0,0,0,0
"Phalan, Ben",12,10,2,2,0,0,0,0
"Phillips, Claire L",18,12,6,3,0,0,0,0
"Stone, Daphne Fisher",12,6,6,1,0,0,0,0
"Tomasino, Elizabeth",35,31,4,3,2,2,0,0
"Viskovic, Jelena",3,1,2,1,0,0,0,0
"Wada, Sugae",3,1,2,1,0,0,0,0
"Wang, Ruying",14,12,2,1,0,0,0,0
"Zhao, Yanyun",99,93,6,4,3,3,0,0
