Corresponding Authors,Pubs Num
"Lynch, Jonathan Paul",49
"Anderson, Charles T",20
"Wu, Rongling",20
"Assmann, Sarah M",19
"Bryant, Donald A",14
"Cosgrove, Daniel J",12
"Ma, Hong",12
"Axtell, Michael J",9
"Felton, Gary W",9
"Guiltinan, Mark J",9
"Eissenstat, David M",7
"Foolad, Majid R",7
"Kao, Tehhui",7
"Centinari, Michela",6
"Chopra, Surinder",6
"Wilf, Peter",6
"Golbeck, John H",5
"Lin, PoAn",5
"Luthe, Dawn S",5
"Rosa, Cristina",5
"Buanafina, Marcia M de O",4
"Curtis, Wayne R",4
"Gu, Ying",4
"LaJeunesse, Todd C",4
"Roossinck, Marilyn J",4
"Rudrabhatla, Sairam",4
"Stephenson, Andrew G",4
"Tooker, John F",4
"Acevedo, Flor Edith",3
"Esker, Paul D",3
"Kang, Seogchan",3
"Mackenzie, Sally A",3
"Mason, Charles J",3
"Maximova, Siela N",3
"Sawers, Ruairidh J H",3
"Yang, Yinong",3
"Zenner, Eric K",3
"Albert, Reka",2
"Ali, Jared Gregory",2
"Archetti, Marco",2
"Bandara, Ananda Y",2
"Bell, Terrence H",2
"Bevilacqua, Philip C",2
"Brown, Kathleen M",2
"Burkhart, Eric P",2
"Carlson, John E",2
"Cui, Liwang",2
"Di Gioia, Francesco",2
"DiniAndreote, Francisco",2
"Erickson, E",2
"Honaas, Loren A",2
"Hristov, AN",2
"Huff, David R",2
"Hughes, David P",2
"Kaminski, John E",2
"Kim, Seong H",2
"Lasky, Jesse R",2
"Li, Shundai",2
"Loeb, Robert E",2
"Lu, Junxuan",2
"McNellis, Timothy W",2
"Moorman, Gary W",2
"Pan, Qinjian",2
"Rowen, Elizabeth",2
"Russell, Travis R",2
"Sanchez, Elsa S",2
"Sattar, Sampurna",2
"Su, Zhao",2
"Sutradhar, Apurba K",2
"Thompson, Gary A",2
"Tien, Ming",2
"Tumlinson, James H",2
"Uddin, Wakar",2
"Wallace, John M",2
