,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Lynch, Jonathan Paul",88,65,23,7,5,5,0,0
"Anderson, Charles T",57,45,12,9,6,4,2,2
"Wu, Rongling",105,105,0,0,0,0,0,0
"Assmann, Sarah M",50,26,24,3,7,5,2,3
"Bryant, Donald A",103,88,15,1,2,1,1,1
"Cosgrove, Daniel J",45,33,12,4,2,2,0,0
"Ma, Hong",43,41,2,1,0,0,0,0
"Axtell, Michael J",24,20,4,2,7,6,1,1
"Felton, Gary W",54,13,41,12,3,3,0,0
"Guiltinan, Mark J",22,3,19,2,4,2,2,2
"Eissenstat, David M",46,42,4,2,3,3,0,0
"Foolad, Majid R",11,10,1,3,1,1,0,0
"Kao, Tehhui",9,7,2,1,0,0,0,0
"Centinari, Michela",16,12,4,2,2,2,0,0
"Chopra, Surinder",12,11,1,2,6,6,0,0
"Wilf, Peter",32,32,0,0,0,0,0,0
"Golbeck, John H",51,36,15,1,3,2,1,1
"Lin, PoAn",8,0,8,6,0,0,0,0
"Luthe, Dawn S",22,9,13,8,0,0,0,0
"Rosa, Cristina",31,12,19,11,3,2,1,1
"Buanafina, Marcia M de O",5,5,0,0,0,0,0,0
"Curtis, Wayne R",18,15,3,3,2,2,0,0
"Gu, Ying",15,6,9,3,3,2,1,1
"LaJeunesse, Todd C",31,31,0,0,1,1,0,0
"Roossinck, Marilyn J",33,33,0,0,0,0,0,0
"Rudrabhatla, Sairam",6,4,2,1,3,3,0,0
"Stephenson, Andrew G",14,12,2,1,0,0,0,0
"Tooker, John F",66,55,11,9,13,13,0,0
"Acevedo, Flor Edith",15,2,13,8,1,1,0,0
"Esker, Paul D",21,12,9,3,3,3,0,0
"Kang, Seogchan",30,28,2,2,2,2,0,0
"Mackenzie, Sally A",11,9,2,1,2,2,0,0
"Mason, Charles J",23,14,9,5,1,1,0,0
"Maximova, Siela N",20,1,19,2,3,1,2,2
"Sawers, Ruairidh J H",7,7,0,0,5,5,0,0
"Yang, Yinong",25,23,2,2,4,4,0,0
"Zenner, Eric K",30,30,0,0,1,1,0,0
"Albert, Reka",44,40,4,2,0,0,0,0
"Ali, Jared Gregory",21,15,6,8,3,3,0,0
"Archetti, Marco",11,11,0,0,0,0,0,0
"Bandara, Ananda Y",8,2,6,2,0,0,0,0
"Bell, Terrence H",24,13,11,7,1,1,0,0
"Bevilacqua, Philip C",61,40,21,2,1,0,1,1
"Brown, Kathleen M",26,2,24,5,3,3,0,0
"Burkhart, Eric P",5,5,0,0,0,0,0,0
"Carlson, John E",32,27,5,5,3,3,0,0
"Cui, Liwang",99,99,0,0,1,1,0,0
"Di Gioia, Francesco",23,21,2,1,0,0,0,0
"DiniAndreote, Francisco",19,19,0,0,0,0,0,0
"Erickson, E",2,2,0,0,0,0,0,0
"Honaas, Loren A",10,9,1,1,0,0,0,0
"Hristov, AN",57,57,0,0,0,0,0,0
"Huff, David R",4,4,0,0,1,1,0,0
"Hughes, David P",37,37,0,0,6,6,0,0
"Kaminski, John E",14,10,4,1,1,1,0,0
"Kim, Seong H",169,162,7,4,10,10,0,0
"Lasky, Jesse R",30,28,2,2,2,1,1,1
"Li, Shundai",9,1,8,3,0,0,0,0
"Loeb, Robert E",4,4,0,0,0,0,0,0
"Lu, Junxuan",21,21,0,0,0,0,0,0
"McNellis, Timothy W",6,5,1,1,2,2,0,0
"Moorman, Gary W",8,4,4,1,0,0,0,0
"Pan, Qinjian",4,0,4,1,0,0,0,0
"Rowen, Elizabeth",4,2,2,1,1,1,0,0
"Russell, Travis R",5,1,4,1,0,0,0,0
"Sanchez, Elsa S",6,4,2,1,0,0,0,0
"Sattar, Sampurna",4,0,4,2,0,0,0,0
"Su, Zhao",7,0,7,3,0,0,0,0
"Sutradhar, Apurba K",2,2,0,0,0,0,0,0
"Thompson, Gary A",5,1,4,2,0,0,0,0
"Tien, Ming",19,11,8,5,0,0,0,0
"Tumlinson, James H",12,11,1,1,0,0,0,0
"Uddin, Wakar",4,3,1,1,2,2,0,0
"Wallace, John M",21,21,0,0,3,3,0,0
