Corresponding Authors,Pubs Num
"Zhu, JianKang",83
"McAdam, Scott A M",28
"Ma, Jianxin",26
"Xu, JinRong",22
"Jiang, Yiwei",20
"Zhang, Cankui",18
"Chapple, Clint",17
"Mengiste, Tesfaye",17
"Chen, Zhixiang",16
"Mohammadi, Mohsen",16
"Zhou, Yun",16
"Dudareva, Natalia",15
"Kessler, Sharon A",13
"Dilkes, Brian P",11
"IyerPascuzzi, Anjali S",11
"Patton, Aaron J",11
"Szymanski, Daniel B",11
"Kim, HyeJi",10
"Rainey, Katy Martin",10
"Staiger, Christopher J",10
"Yoon, Gyeong Mee",10
"Carpita, Nicholas C",9
"Adeola, Olayiwola",8
"Couture, John J",8
"Jacobs, Douglass F",8
"Subramanyam, Subhashree",8
"Tuinstra, Mitchell R",8
"Vyn, Tony J",8
"Widhalm, Joshua R",8
"Gelvin, Stanton B",7
"Lisch, Damon",7
"Braun, Ross C",6
"Cruz, Christian D",6
"Ejeta, Gebisa",6
"Puthiyaveetil, Sujith",6
"Cai, Guohong",5
"Hoagland, Lori",5
"Jin, Jian",5
"Li, Ying",5
"McNickle, Gordon G",5
"Meyers, Stephen L",5
"Park, Daniel S",5
"Williams, Christie E",5
"Zhang, Chunhua",5
"Aime, M Catherine",4
"Bajgain, Prabin",4
"Banks, Jo Ann",4
"Baributsa, Dieudonne",4
"Devkota, Pratap",4
"HerreroHuerta, Monica",4
"Jenkins, Michael A",4
"Johnson, William G",4
"Mickelbart, Michael V",4
"Morgan, John A",4
"Murphy, Angus S",4
"Powlen, Jada S",4
"Wise, Kiersten A",4
"Ciampitti, Ignacio A",3
"Cramer, William A",3
"Enders, Laramy",3
"Goodwin, Stephen B",3
"Hamaker, Bruce R",3
"Handa, Avtar K",3
"Harre, Nick T",3
"Lang, Zhaobo",3
"Legleiter, Travis R",3
"Nemali, Krishna",3
"Oakley, Christopher G",3
"Smith, Nicholas G",3
"Upadhyay, Rakesh K",3
"Volenec, Jeffrey J",3
"Wang, Diane R",3
"Wisecaver, Jennifer H",3
"Young, Bryan G",3
"Zimmer, Marcelo",3
"Allen, Damian J",2
"Angelella, G M",2
"Arana, Jeanine",2
"Benes, Bedrich",2
"Bhatt, Kalpana",2
"Cammarano, Davide",2
"Ebrahimi, Aziz",2
"Egel, Daniel S",2
"Engel, Bernard A",2
"Fei, Songlin",2
"Ferruzzi, Mario G",2
"Haarmann, Jesse A",2
"Johal, Gurmukh S",2
"Kadam, Ulhas S",2
"Kaplan, Ian",2
"Krupke, Christian H",2
"Liu, Xing",2
"McCann, Maureen C",2
"McCauley, Cara L",2
"McNally, Brandon C",2
"Owens, Brenda F",2
"Raghothama, Kashchandra G",2
"Rivera, Benjamin J",2
"Rochet, JeanChristophe",2
"Sankaranarayanan, Subramanian",2
"Scharf, Michael E",2
"Schuster, Michael J",2
"Scofield, Steven R",2
"Simsek, Senay",2
"Stuart, Jeffrey J",2
"Toca, Andrei",2
"Vukovic, Vera",2
"Wan, Yizhen",2
"Wiedenhoeft, Alex C",2
"Woeste, Keith",2
"Woloshuk, Charles P",2
"Xavier, Alencar",2
"Xie, Yingying",2
"Zhang, Lei",2
"Zhang, Min",2
"Zhao, Chunzhao",2
"de Rus Jacquet, Aurelie",2
