,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Zhu, JianKang",178,133,45,10,0,0,0,0
"McAdam, Scott A M",74,66,8,9,5,5,0,0
"Ma, Jianxin",50,34,16,11,6,5,1,1
"Xu, JinRong",94,93,1,1,0,0,0,0
"Jiang, Yiwei",47,38,9,7,1,1,0,0
"Zhang, Cankui",40,29,11,8,5,3,2,2
"Chapple, Clint",42,27,15,6,4,4,0,0
"Mengiste, Tesfaye",39,18,21,12,3,3,0,0
"Chen, Zhixiang",44,43,1,1,4,4,0,0
"Mohammadi, Mohsen",33,26,7,6,1,1,0,0
"Zhou, Yun",36,11,25,9,4,2,2,2
"Dudareva, Natalia",68,41,27,7,2,2,0,0
"Kessler, Sharon A",22,12,10,7,3,3,0,0
"Dilkes, Brian P",59,38,21,10,2,1,1,1
"IyerPascuzzi, Anjali S",45,33,12,10,0,0,0,0
"Patton, Aaron J",80,43,37,7,1,1,0,0
"Szymanski, Daniel B",36,33,3,3,8,8,0,0
"Kim, HyeJi",24,24,0,0,0,0,0,0
"Rainey, Katy Martin",42,20,22,5,0,0,0,0
"Staiger, Christopher J",33,19,14,5,3,2,1,1
"Yoon, Gyeong Mee",24,21,3,3,6,6,0,0
"Carpita, Nicholas C",31,9,22,6,2,2,0,0
"Adeola, Olayiwola",160,160,0,0,0,0,0,0
"Couture, John J",28,20,8,9,5,3,2,2
"Jacobs, Douglass F",101,83,18,6,4,4,0,0
"Subramanyam, Subhashree",25,15,10,3,0,0,0,0
"Tuinstra, Mitchell R",50,31,19,12,7,5,2,2
"Vyn, Tony J",44,43,1,1,2,2,0,0
"Widhalm, Joshua R",28,9,19,11,1,1,0,0
"Gelvin, Stanton B",20,19,1,1,3,2,1,1
"Lisch, Damon",23,19,4,3,1,1,0,0
"Braun, Ross C",39,13,26,2,0,0,0,0
"Cruz, Christian D",27,17,10,4,3,3,0,0
"Ejeta, Gebisa",23,9,14,7,0,0,0,0
"Puthiyaveetil, Sujith",19,14,5,2,4,4,0,0
"Cai, Guohong",22,11,11,5,0,0,0,0
"Hoagland, Lori",22,19,3,2,7,7,0,0
"Jin, Jian",49,34,15,7,2,2,0,0
"Li, Ying",29,20,9,4,3,3,0,0
"McNickle, Gordon G",19,14,5,5,1,1,0,0
"Meyers, Stephen L",26,12,14,5,0,0,0,0
"Park, Daniel S",25,19,6,1,0,0,0,0
"Williams, Christie E",11,2,9,3,0,0,0,0
"Zhang, Chunhua",24,16,8,4,2,1,1,1
"Aime, M Catherine",145,141,4,4,0,0,0,0
"Bajgain, Prabin",5,4,1,1,0,0,0,0
"Banks, Jo Ann",13,6,7,6,2,1,1,1
"Baributsa, Dieudonne",51,45,6,5,1,1,0,0
"Devkota, Pratap",9,1,8,1,0,0,0,0
"HerreroHuerta, Monica",7,4,3,3,0,0,0,0
"Jenkins, Michael A",40,32,8,5,1,1,0,0
"Johnson, William G",65,8,57,13,0,0,0,0
"Mickelbart, Michael V",25,10,15,12,4,1,3,3
"Morgan, John A",33,14,19,6,3,3,0,0
"Murphy, Angus S",9,6,3,2,0,0,0,0
"Powlen, Jada S",9,7,2,2,0,0,0,0
"Wise, Kiersten A",50,42,8,7,0,0,0,0
"Ciampitti, Ignacio A",38,33,5,3,0,0,0,0
"Cramer, William A",31,27,4,1,1,1,0,0
"Enders, Laramy",10,5,5,3,2,2,0,0
"Goodwin, Stephen B",32,20,12,6,0,0,0,0
"Hamaker, Bruce R",214,182,32,5,2,2,0,0
"Handa, Avtar K",22,15,7,3,2,2,0,0
"Harre, Nick T",11,0,11,3,0,0,0,0
"Lang, Zhaobo",26,1,25,5,0,0,0,0
"Legleiter, Travis R",8,0,8,3,0,0,0,0
"Nemali, Krishna",17,16,1,1,0,0,0,0
"Oakley, Christopher G",12,11,1,1,3,2,1,1
"Smith, Nicholas G",19,16,3,1,0,0,0,0
"Upadhyay, Rakesh K",6,1,5,1,0,0,0,0
"Volenec, Jeffrey J",30,19,11,9,1,1,0,0
"Wang, Diane R",20,15,5,4,2,2,0,0
"Wisecaver, Jennifer H",27,18,9,7,4,4,0,0
"Young, Bryan G",77,28,49,12,1,1,0,0
"Zimmer, Marcelo",6,1,5,2,0,0,0,0
"Allen, Damian J",7,6,1,1,0,0,0,0
"Angelella, G M",3,3,0,0,0,0,0,0
"Arana, Jeanine",10,0,10,2,0,0,0,0
"Benes, Bedrich",90,84,6,1,11,11,0,0
"Bhatt, Kalpana",15,15,0,0,0,0,0,0
"Cammarano, Davide",19,16,3,2,2,2,0,0
"Ebrahimi, Aziz",25,19,6,3,1,1,0,0
"Egel, Daniel S",12,12,0,0,0,0,0,0
"Engel, Bernard A",166,162,4,2,1,1,0,0
"Fei, Songlin",121,112,9,3,7,7,0,0
"Ferruzzi, Mario G",101,69,32,6,0,0,0,0
"Haarmann, Jesse A",2,0,2,2,0,0,0,0
"Johal, Gurmukh S",11,5,6,2,1,1,0,0
"Kadam, Ulhas S",2,2,0,0,0,0,0,0
"Kaplan, Ian",57,46,11,6,8,8,0,0
"Krupke, Christian H",30,26,4,4,8,8,0,0
"Liu, Xing",40,24,16,5,2,2,0,0
"McCann, Maureen C",26,3,23,4,0,0,0,0
"McCauley, Cara L",3,0,3,4,0,0,0,0
"McNally, Brandon C",8,3,5,4,0,0,0,0
"Owens, Brenda F",5,3,2,1,0,0,0,0
"Raghothama, Kashchandra G",3,3,0,0,0,0,0,0
"Rivera, Benjamin J",2,0,2,2,0,0,0,0
"Rochet, JeanChristophe",64,58,6,2,0,0,0,0
"Sankaranarayanan, Subramanian",11,7,4,1,0,0,0,0
