Corresponding Authors,Pubs Num
"Huang, Bingru",84
"Dong, Juan",18
"Lam, Eric",16
"Gallavotti, Andrea",15
"Maliga, Pal",12
"Messing, Joachim",11
"Simon, James Edward",11
"Besancon, Thierry E",9
"Bhattacharya, Debashish",7
"Xu, Ming",6
"Zhang, Ning",6
"Durner, Edward F",5
"Ho, ChiTang",5
"Molnar, Thomas J",5
"White, James Francis",5
"Di, Rong",4
"Dismukes, G Charles",4
"Koppenhofer, Albrecht M",4
"Wu, Qingli",4
"BlakeMahmud, Jennifer",3
"Dooner, Hugo K",3
"Herniter, Ira A",3
"Leustek, Thomas",3
"Yin, Guohua",3
"Diehl, Katherine H",2
"Elmore, Matthew T",2
"Falkowski, Paul G",2
"Gould, Ann B",2
"Guo, Xiaoyu",2
"Hillman, Bradley I",2
"Honig, Josh A",2
"Islam, Tarikul",2
"Murphy, James A",2
"Ribnicky, David",2
"RodriguezSaona, Cesar",2
"Smouse, Peter E",2
"Thamatrakoln, Kimberlee",2
"Vorsa, Nicholi",2
"Waters, Dennis P",2
"Zander, Mark",2
"Zheng, Xi",2
