,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Huang, Bingru",118,115,3,3,2,2,0,0
"Dong, Juan",38,27,11,2,2,2,0,0
"Lam, Eric",41,41,0,0,3,3,0,0
"Gallavotti, Andrea",32,32,0,0,4,4,0,0
"Maliga, Pal",18,16,2,2,3,3,0,0
"Messing, Joachim",18,14,4,3,0,0,0,0
"Simon, James Edward",100,38,62,5,5,5,0,0
"Besancon, Thierry E",29,27,2,3,2,2,0,0
"Bhattacharya, Debashish",137,124,13,6,11,9,2,2
"Xu, Ming",55,54,1,1,0,0,0,0
"Zhang, Ning",48,31,17,8,7,6,1,1
"Durner, Edward F",11,11,0,0,1,1,0,0
"Ho, ChiTang",629,620,9,5,0,0,0,0
"Molnar, Thomas J",21,15,6,3,1,1,0,0
"White, James Francis",138,130,8,4,3,2,1,1
"Di, Rong",37,30,7,9,3,2,1,2
"Dismukes, G Charles",33,30,3,2,0,0,0,0
"Koppenhofer, Albrecht M",30,21,9,5,1,1,0,0
"Wu, Qingli",64,4,60,4,0,0,0,0
"BlakeMahmud, Jennifer",4,4,0,0,0,0,0,0
"Dooner, Hugo K",6,5,1,1,0,0,0,0
"Herniter, Ira A",8,6,2,1,0,0,0,0
"Leustek, Thomas",10,8,2,1,0,0,0,0
"Yin, Guohua",33,33,0,0,0,0,0,0
"Diehl, Katherine H",4,0,4,5,0,0,0,0
"Elmore, Matthew T",36,23,13,6,1,1,0,0
"Falkowski, Paul G",60,55,5,2,2,0,2,2
"Gould, Ann B",2,2,0,0,0,0,0,0
"Guo, Xiaoyu",14,3,11,2,0,0,0,0
"Hillman, Bradley I",22,18,4,4,1,1,0,0
"Honig, Josh A",11,2,9,6,0,0,0,0
"Islam, Tarikul",6,4,2,1,0,0,0,0
"Murphy, James A",33,20,13,6,1,1,0,0
"Ribnicky, David",10,9,1,1,0,0,0,0
"RodriguezSaona, Cesar",57,50,7,2,0,0,0,0
"Smouse, Peter E",15,14,1,1,0,0,0,0
"Thamatrakoln, Kimberlee",24,24,0,0,6,6,0,0
"Vorsa, Nicholi",30,25,5,3,2,2,0,0
"Waters, Dennis P",3,3,0,0,0,0,0,0
"Zander, Mark",8,8,0,0,1,1,0,0
"Zheng, Xi",82,80,2,1,0,0,0,0
