Corresponding Authors,Pubs Num
"Sehgal, Sunish Kumar",17
"Li, Wanlong",12
"Fennell, Anne Y",10
"Nepal, Madhav P",10
"Subramanian, Senthil",9
"Nawaz, Taufiq",8
"Gu, XingYou",7
"Wu, Yajun",6
"Bucking, Heike",5
"Caffe, Melanie",5
"Jones, Eric A L",5
"Marzano, ShinYi Lee",5
"Ali, Shaukat",4
"Arvid, Boe",4
"Glover, Karl D",4
"Rohila, Jai S",4
"Woyengo, Tofuko Awori",4
"Clay, Sharon A",3
"Fahad, Shah",3
South Dakota State University),3
"Auger, Donald",2
"Brozel, Volker S",2
"Byamukama, Emmanuel",2
"GonzalezHernandez, Jose L",2
"Jiang, GuoLiang",2
"Lan, Xu",2
"Latvis, Maribeth",2
"Maimaitijiang, Maitiniyazi",2
"Sanyal, Debankur",2
"Yen, Yang",2
"Zhou, Ruanbao",2
