,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Sehgal, Sunish Kumar",58,40,18,3,3,2,1,2
"Li, Wanlong",13,11,2,2,8,8,0,0
"Fennell, Anne Y",43,39,4,5,4,4,0,0
"Nepal, Madhav P",21,15,6,6,7,7,0,0
"Subramanian, Senthil",30,17,13,7,8,6,2,2
"Nawaz, Taufiq",64,5,59,2,0,0,0,0
"Gu, XingYou",8,8,0,0,0,0,0,0
"Wu, Yajun",17,12,5,5,4,4,0,0
"Bucking, Heike",24,18,6,4,3,1,2,2
"Caffe, Melanie",19,14,5,3,0,0,0,0
"Jones, Eric A L",9,9,0,0,0,0,0,0
"Marzano, ShinYi Lee",18,13,5,3,0,0,0,0
"Ali, Shaukat",38,13,25,6,2,2,0,0
"Arvid, Boe",8,6,2,1,0,0,0,0
"Glover, Karl D",27,20,7,6,1,1,0,0
"Rohila, Jai S",11,8,3,5,1,1,0,0
"Woyengo, Tofuko Awori",52,52,0,0,1,1,0,0
"Clay, Sharon A",66,59,7,4,2,2,0,0
"Fahad, Shah",60,3,57,2,1,0,1,1
South Dakota State University),0,0,0,0,0,0,0,0
"Auger, Donald",4,1,3,2,0,0,0,0
"Brozel, Volker S",25,17,8,4,0,0,0,0
"Byamukama, Emmanuel",27,19,8,4,2,2,0,0
"GonzalezHernandez, Jose L",13,6,7,6,0,0,0,0
"Jiang, GuoLiang",5,3,2,2,0,0,0,0
"Lan, Xu",3,1,2,1,0,0,0,0
"Latvis, Maribeth",7,7,0,0,2,2,0,0
"Maimaitijiang, Maitiniyazi",13,6,7,4,0,0,0,0
"Sanyal, Debankur",12,12,0,0,0,0,0,0
"Yen, Yang",8,1,7,8,1,1,0,0
"Zhou, Ruanbao",41,26,15,5,7,6,1,1
