Corresponding Authors,Pubs Num
"Kurouski, Dmitry",31
"Mandadi, Kranthi K",26
"Murray, Seth C",26
"He, Ping",25
"Kolomiets, Michael V",21
"Shan, Libo",21
"Bagavathiannan, Muthukumar V",20
"Koiwa, Hisashi",20
"Patil, Bhimanagouda S",20
"Mullet, John E",19
"Septiningsih, Endang M",18
"Yang, Fei",16
"Zhang, Xiuren",16
"Niu, Genhua",15
"Leskovar, Daniel Ivan",12
"Magill, Clint W",12
"Verchot, Jeanmarie",12
"Jayaprakasha, Guddadadarangavvanahally K",11
"Ravelombola, Waltram",10
"Tamborindeguy, Cecilia",10
"Joshi, Vijay",9
"Kent, Mitchell A",9
"Kerns, David L",9
"Shippen, Dorothy E",9
"Vales, M Isabel",9
"Yu, Qingyi",9
"Zhen, Shuyang",9
"Klein, Patricia E",8
"Krutovsky, Konstantin V",8
"Lan, Yubin",8
"Rooney, William L",8
"Scholthof, KarenBeth G",8
"Shim, Won Bo",8
"Thomson, Michael J",8
"Zhang, HongBin",8
"Avila, Carlos A",7
"Chandra, Ambika",7
"Dever, Jane K",7
"Finlayson, Scott A",7
"Jessup, Russell W",7
"Jo, YoungKi",7
"Levy, Julien Gad",7
"Okumoto, Sakiko",7
"Rathore, Keerti S",7
"RieraLizarazu, Oscar",7
Texas A&M University),7
"Crozier, Daniel",6
"Rushton, Paul J",6
"Scholthof, Herman B",6
"Smith, C Wayne",6
"ZhuSalzman, Keyan",6
"Bernal, Julio S",5
"Burow, Mark D",5
"Helms, Anjel M",5
"Rawandoozi, Zena J",5
"Stelly, David M",5
"Xiong, Liming",5
"Adams, Curtis B",4
"Casola, Claudio",4
"CisnerosZevallos, Luis",4
"Devarenne, Timothy P",4
"Ma, Xingmao",4
"Pierson, Elizabeth A",4
"Pugh, N Ace",4
"Song, Junqi",4
"Sword, Gregory A",4
"Versaw, Wayne K",4
"Wheeler, Terry A",4
"Wherley, Benjamin G",4
"Yu, Jialin",4
"Abdelhamid, Magdi T",3
"Adhikari, Anil",3
"Calvin, Wilfrid",3
"Crosby, Kevin M",3
"Dhingra, Amit",3
"Dickman, Martin B",3
"Fonseca, Jales M O",3
"Gadhave, Kiran R",3
"Gomez, Francisco E",3
"Griffing, Lawrence R",3
"Ibrahim, Amir M H",3
"Malla, Subas",3
"McKnight, Thomas D",3
"Paape, Timothy",3
Texas A&M University,3
"Wang, HsiaoHsuan",3
"Winans, Noah D",3
"Yuan, Joshua S",3
"Zhang, Yu Yvette",3
"Abdullah, Meshal M",2
"Awika, Joseph M",2
"Bankaitis, Vytas A",2
"Behmer, Spencer T",2
"Brewer, Michael J",2
"Burke, Joseph Alan",2
"Chappell, Thomas M",2
"Dickman, Marty",2
"Fernando, Sandun",2
"Gu, Mengmeng",2
"Hugie, Kari L",2
"IbanezCarrasco, Freddy",2
"Kebrom, Tesfamichael H",2
"Kelly, Carol M",2
"Larkin, Patrick D",2
"Lau, Jeekin",2
"MertensTalcott, Susanne U",2
"Mirkov, T Erik",2
"Moore, Janie McClurkin",2
"Pandey, Jeewan",2
"Paredes, Rossana",2
"Pepper, Alan E",2
"Pfeiffer, Brian K",2
"Rabara, Roel C",2
"Rangel, Juliana",2
"Rossi, Lorenzo",2
"Sconiers, Warren B",2
"Singh, Gurjeet",2
"Spalink, Daniel",2
"Swaminathan, Vaishali",2
"Talukder, Shyamal K",2
"Thompson, Morgan N",2
