,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Kurouski, Dmitry",175,144,31,16,0,0,0,0
"Mandadi, Kranthi K",55,22,33,12,2,2,0,0
"Murray, Seth C",92,60,32,17,1,1,0,0
"He, Ping",67,15,52,11,0,0,0,0
"Kolomiets, Michael V",54,30,24,20,0,0,0,0
"Shan, Libo",72,22,50,10,2,2,0,0
"Bagavathiannan, Muthukumar V",138,114,24,8,2,2,0,0
"Koiwa, Hisashi",50,24,26,15,1,1,0,0
"Patil, Bhimanagouda S",118,31,87,11,1,1,0,0
"Mullet, John E",47,25,22,7,1,1,0,0
"Septiningsih, Endang M",54,25,29,6,2,2,0,0
"Yang, Fei",43,8,35,4,0,0,0,0
"Zhang, Xiuren",47,34,13,3,0,0,0,0
"Niu, Genhua",77,60,17,5,0,0,0,0
"Leskovar, Daniel Ivan",51,32,19,9,3,3,0,0
"Magill, Clint W",41,37,4,1,1,1,0,0
"Verchot, Jeanmarie",25,23,2,3,1,1,0,0
"Jayaprakasha, Guddadadarangavvanahally K",71,1,70,8,0,0,0,0
"Ravelombola, Waltram",21,14,7,2,1,1,0,0
"Tamborindeguy, Cecilia",45,18,27,7,2,2,0,0
"Joshi, Vijay",23,14,9,10,1,1,0,0
"Kent, Mitchell A",10,0,10,3,0,0,0,0
"Kerns, David L",65,19,46,9,0,0,0,0
"Shippen, Dorothy E",28,27,1,1,0,0,0,0
"Vales, M Isabel",21,8,13,6,0,0,0,0
"Yu, Qingyi",21,16,5,3,3,3,0,0
"Zhen, Shuyang",22,12,10,4,1,1,0,0
"Klein, Patricia E",48,12,36,13,1,1,0,0
"Krutovsky, Konstantin V",62,62,0,0,0,0,0,0
"Lan, Yubin",30,30,0,0,0,0,0,0
"Rooney, William L",133,42,91,25,2,2,0,0
"Scholthof, KarenBeth G",22,13,9,2,0,0,0,0
"Shim, Won Bo",42,41,1,1,1,1,0,0
"Thomson, Michael J",45,18,27,8,1,1,0,0
"Zhang, HongBin",25,14,11,7,1,1,0,0
"Avila, Carlos A",32,9,23,11,2,2,0,0
"Chandra, Ambika",32,18,14,4,1,1,0,0
"Dever, Jane K",46,10,36,6,1,1,0,0
"Finlayson, Scott A",19,12,7,11,0,0,0,0
"Jessup, Russell W",35,22,13,8,1,1,0,0
"Jo, YoungKi",23,19,4,4,0,0,0,0
"Levy, Julien Gad",23,0,23,5,0,0,0,0
"Okumoto, Sakiko",17,11,6,6,0,0,0,0
"Rathore, Keerti S",15,11,4,5,2,2,0,0
"RieraLizarazu, Oscar",16,2,14,9,0,0,0,0
Texas A&M University),0,0,0,0,0,0,0,0
"Crozier, Daniel",9,0,9,7,0,0,0,0
"Rushton, Paul J",12,1,11,1,0,0,0,0
"Scholthof, Herman B",14,12,2,2,1,1,0,0
"Smith, C Wayne",30,22,8,4,1,1,0,0
"ZhuSalzman, Keyan",72,59,13,15,0,0,0,0
"Bernal, Julio S",35,20,15,9,1,1,0,0
"Burow, Mark D",26,21,5,3,1,1,0,0
"Helms, Anjel M",37,18,19,9,2,2,0,0
"Rawandoozi, Zena J",11,6,5,3,0,0,0,0
"Stelly, David M",44,35,9,5,0,0,0,0
"Xiong, Liming",7,7,0,0,0,0,0,0
"Adams, Curtis B",32,23,9,2,1,1,0,0
"Casola, Claudio",21,21,0,0,1,1,0,0
"CisnerosZevallos, Luis",97,94,3,1,0,0,0,0
"Devarenne, Timothy P",27,23,4,4,1,1,0,0
"Ma, Xingmao",119,96,23,4,1,1,0,0
"Pierson, Elizabeth A",29,16,13,9,2,2,0,0
"Pugh, N Ace",12,0,12,7,0,0,0,0
"Song, Junqi",13,11,2,2,1,1,0,0
"Sword, Gregory A",74,51,23,8,0,0,0,0
"Versaw, Wayne K",13,12,1,1,1,1,0,0
"Wheeler, Terry A",45,15,30,7,1,1,0,0
"Wherley, Benjamin G",32,22,10,4,1,1,0,0
"Yu, Jialin",13,2,11,1,0,0,0,0
"Abdelhamid, Magdi T",6,6,0,0,0,0,0,0
"Adhikari, Anil",4,1,3,1,0,0,0,0
"Calvin, Wilfrid",4,0,4,2,0,0,0,0
"Crosby, Kevin M",52,5,47,13,1,1,0,0
"Dhingra, Amit",14,13,1,2,0,0,0,0
"Dickman, Martin B",12,8,4,3,0,0,0,0
"Fonseca, Jales M O",8,0,8,5,0,0,0,0
"Gadhave, Kiran R",11,6,5,2,0,0,0,0
"Gomez, Francisco E",6,1,5,3,0,0,0,0
"Griffing, Lawrence R",8,8,0,0,1,1,0,0
"Ibrahim, Amir M H",79,59,20,13,1,1,0,0
"Malla, Subas",12,8,4,3,2,2,0,0
"McKnight, Thomas D",6,4,2,1,0,0,0,0
"Paape, Timothy",5,5,0,0,0,0,0,0
Texas A&M University,0,0,0,0,0,0,0,0
"Wang, HsiaoHsuan",85,74,11,2,0,0,0,0
"Winans, Noah D",6,0,6,5,0,0,0,0
"Yuan, Joshua S",79,72,7,9,1,1,0,0
"Zhang, Yu Yvette",75,67,8,5,1,1,0,0
"Abdullah, Meshal M",41,37,4,1,0,0,0,0
"Awika, Joseph M",57,42,15,9,4,4,0,0
"Bankaitis, Vytas A",38,38,0,0,0,0,0,0
"Behmer, Spencer T",35,18,17,7,0,0,0,0
"Brewer, Michael J",50,19,31,10,2,2,0,0
"Burke, Joseph Alan",11,10,1,2,0,0,0,0
"Chappell, Thomas M",22,18,4,5,1,1,0,0
"Dickman, Marty",2,2,0,0,0,0,0,0
"Fernando, Sandun",33,30,3,2,1,1,0,0
"Gu, Mengmeng",55,34,21,5,0,0,0,0
"Hugie, Kari L",2,0,2,1,0,0,0,0
"IbanezCarrasco, Freddy",17,3,14,4,0,0,0,0
"Kebrom, Tesfamichael H",5,1,4,1,0,0,0,0
"Kelly, Carol M",10,0,10,1,0,0,0,0
"Larkin, Patrick D",2,2,0,0,0,0,0,0
"Lau, Jeekin",7,0,7,3,0,0,0,0
"MertensTalcott, Susanne U",58,56,2,1,0,0,0,0
"Mirkov, T Erik",4,1,3,3,0,0,0,0
"Moore, Janie McClurkin",31,26,5,3,1,1,0,0
"Pandey, Jeewan",9,0,9,3,0,0,0,0
"Paredes, Rossana",3,3,0,0,0,0,0,0
"Pepper, Alan E",14,10,4,3,1,1,0,0
"Pfeiffer, Brian K",7,2,5,1,0,0,0,0
"Rabara, Roel C",11,0,11,1,0,0,0,0
"Rangel, Juliana",52,49,3,2,3,3,0,0
"Rossi, Lorenzo",20,5,15,1,0,0,0,0
"Sconiers, Warren B",2,2,0,0,0,0,0,0
"Singh, Gurjeet",19,17,2,2,0,0,0,0
"Spalink, Daniel",26,26,0,0,1,1,0,0
"Swaminathan, Vaishali",8,8,0,0,0,0,0,0
"Talukder, Shyamal K",3,1,2,2,0,0,0,0
"Thompson, Morgan N",13,3,10,6,0,0,0,0
