Corresponding Authors,Pubs Num
"Shi, Ainong",49
"Chen, Pengyin",22
"Purcell, Larry C",19
"Mozzoni, Leandro Angel",18
"Kariyat, Rupesh R",15
"Burgos, Nilda Roma",14
"Srivastava, Vibha",14
"Tzanetakis, Ioannis E",13
"Correll, James C",11
"Norsworthy, Jason K",11
"Goggin, Fiona L",9
"Xiong, Haizheng",9
"Pereira, Andy",8
"Worthington, Margaret L",8
"Mason, Richard Esten",7
"Vieira, Caio Canella",6
"Bhattarai, Gehendra",5
"GonzalezTorralva, Fidel",5
"Meyer, Christopher J",5
"Miller, M Ryan",5
"Priess, Grant L",5
"SchwartzLazaro, Lauren M",5
"Avent, Tristen H",4
"Brye, Kristofor R",4
"Dickson, Ryan W",4
"Faske, Travis R",4
"Jones, Gordon T",4
"Liu, Bo",4
"Ainong, Shi",3
"Bangarwa, Sanjeev K",3
"Beaulieu, Jeremy M",3
"Bertucci, Matthew B",3
"Bluhm, Burton H",3
"Bourland, Fred M",3
"Butts, Thomas R",3
"Castner, Mason C",3
"Cotter, Bodie L",3
"Godar, Amar S",3
"Korres, Nicholas E",3
"Lancaster, Zachary D",3
"Meyer, Chris J",3
"Palhano, Matheus G",3
"Popp, Michael P",3
"Richardson, Michael D",3
"Shakiba, Ehsan",3
"Woolard, Matthew C",3
"Alverson, Andrew J",2
"Arnold, Casey H",2
"Beesinger, James W",2
"Bellis, Emily S",2
"Bowman, Hunter D",2
"Brabham, Chad",2
"Egan, Martin John",2
"Esguerra, Manuel Q",2
"Farr, Rodger",2
"Fleming, Jacob",2
"Gibson, Kristen E",2
"Godara, Navdeep",2
"Godwin, John",2
"Hagen, Eric R",2
"Hettiarachchy, Navam S",2
"Kaler, Avjinder S",2
"King, Tanner A",2
"Larkin, Dylan L",2
"Lozada, Dennis N",2
"Martin, Steven M",2
"Oosterhuis, Derrick M",2
"Rangani, Gulab",2
"Rhezali, Abdelaziz",2
"Rojas, Clemencia M",2
"Rupe, John C",2
"Russell, Travis R",2
"Souza, Maria C CR",2
"Vasconcelos, Thais",2
"Winn, Zachary James",2
"Young, Mason L",2
"ZaccaroGruener, Maria Leticia",2
