,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Shi, Ainong",106,45,61,13,4,4,0,0
"Chen, Pengyin",116,41,75,15,0,0,0,0
"Purcell, Larry C",70,41,29,8,0,0,0,0
"Mozzoni, Leandro Angel",49,5,44,11,2,2,0,0
"Kariyat, Rupesh R",36,33,3,2,2,2,0,0
"Burgos, Nilda Roma",88,58,30,13,0,0,0,0
"Srivastava, Vibha",38,29,9,10,4,3,1,1
"Tzanetakis, Ioannis E",83,83,0,0,0,0,0,0
"Correll, James C",45,22,23,6,1,1,0,0
"Norsworthy, Jason K",241,55,186,36,1,1,0,0
"Goggin, Fiona L",15,14,1,1,5,5,0,0
"Xiong, Haizheng",34,3,31,5,0,0,0,0
"Pereira, Andy",33,21,12,12,4,3,1,1
"Worthington, Margaret L",33,30,3,4,4,4,0,0
"Mason, Richard Esten",41,23,18,12,0,0,0,0
"Vieira, Caio Canella",29,6,23,5,0,0,0,0
"Bhattarai, Gehendra",31,1,30,7,0,0,0,0
"GonzalezTorralva, Fidel",12,0,12,4,0,0,0,0
"Meyer, Christopher J",7,0,7,2,0,0,0,0
"Miller, M Ryan",10,1,9,6,0,0,0,0
"Priess, Grant L",10,0,10,6,0,0,0,0
"SchwartzLazaro, Lauren M",17,1,16,6,0,0,0,0
"Avent, Tristen H",14,0,14,5,0,0,0,0
"Brye, Kristofor R",97,86,11,10,1,1,0,0
"Dickson, Ryan W",16,10,6,9,3,3,0,0
"Faske, Travis R",25,21,4,5,0,0,0,0
"Jones, Gordon T",4,0,4,1,0,0,0,0
"Liu, Bo",12,2,10,4,0,0,0,0
"Ainong, Shi",6,6,0,0,0,0,0,0
"Bangarwa, Sanjeev K",4,0,4,1,0,0,0,0
"Beaulieu, Jeremy M",35,25,10,3,2,2,0,0
"Bertucci, Matthew B",19,7,12,7,1,1,0,0
"Bluhm, Burton H",16,15,1,2,0,0,0,0
"Bourland, Fred M",17,12,5,3,1,1,0,0
"Butts, Thomas R",73,9,64,22,1,1,0,0
"Castner, Mason C",6,0,6,3,0,0,0,0
"Cotter, Bodie L",3,0,3,2,0,0,0,0
"Godar, Amar S",13,0,13,5,0,0,0,0
"Korres, Nicholas E",34,7,27,7,0,0,0,0
"Lancaster, Zachary D",5,0,5,1,0,0,0,0
"Meyer, Chris J",6,0,6,1,0,0,0,0
"Palhano, Matheus G",6,0,6,5,0,0,0,0
"Popp, Michael P",37,24,13,9,0,0,0,0
"Richardson, Michael D",32,29,3,2,0,0,0,0
"Shakiba, Ehsan",16,11,5,7,1,1,0,0
"Woolard, Matthew C",5,0,5,3,0,0,0,0
"Alverson, Andrew J",33,28,5,1,3,3,0,0
"Arnold, Casey H",4,0,4,2,0,0,0,0
"Beesinger, James W",2,0,2,2,0,0,0,0
"Bellis, Emily S",3,3,0,0,1,1,0,0
"Bowman, Hunter D",4,0,4,2,0,0,0,0
"Brabham, Chad",12,0,12,5,0,0,0,0
"Egan, Martin John",11,11,0,0,3,3,0,0
"Esguerra, Manuel Q",3,2,1,1,0,0,0,0
"Farr, Rodger",3,0,3,2,0,0,0,0
"Fleming, Jacob",2,0,2,1,0,0,0,0
"Gibson, Kristen E",76,74,2,2,12,12,0,0
"Godara, Navdeep",5,1,4,3,0,0,0,0
"Godwin, John",4,0,4,1,0,0,0,0
"Hagen, Eric R",4,1,3,2,0,0,0,0
"Hettiarachchy, Navam S",34,24,10,3,4,4,0,0
"Kaler, Avjinder S",19,3,16,5,0,0,0,0
"King, Tanner A",3,0,3,4,0,0,0,0
"Larkin, Dylan L",4,0,4,3,0,0,0,0
"Lozada, Dennis N",9,1,8,3,0,0,0,0
"Martin, Steven M",2,0,2,1,0,0,0,0
"Oosterhuis, Derrick M",23,19,4,5,0,0,0,0
"Rangani, Gulab",12,0,12,4,0,0,0,0
"Rhezali, Abdelaziz",4,3,1,1,0,0,0,0
"Rojas, Clemencia M",13,12,1,1,5,5,0,0
"Rupe, John C",25,8,17,8,2,2,0,0
"Russell, Travis R",2,0,2,1,0,0,0,0
"Souza, Maria C CR",2,0,2,3,0,0,0,0
"Vasconcelos, Thais",9,5,4,2,0,0,0,0
"Winn, Zachary James",3,0,3,3,0,0,0,0
"Young, Mason L",3,0,3,1,0,0,0,0
"ZaccaroGruener, Maria Leticia",5,0,5,3,0,0,0,0
