Corresponding Authors,Pubs Num
"Dubcovsky, Jorge",49
"Kliebenstein, Daniel J",31
"Coaker, Gitta L",29
"Ronald, Pamela C",27
"Cantu, Dario",25
"Brady, Siobhan M",22
"Tian, Li",21
"Subbarao, Krishna V",20
"Melotto, Maeli",19
"AlKhatib, Kassim",18
"DineshKumar, Savithramma P",18
"Blumwald, Eduardo",17
"Jiang, CaiZhong",17
"Kurtural, Sahap Kaan",17
"Sinha, Neelima R",17
"Zerbe, Philipp",16
"Beckles, Diane M",15
"Dvorak, Jan",15
"Dandekar, Abhaya M",14
"Groover, Andrew T",14
"Sundaresan, Venkatesan",14
"Taylor, Gail",14
"BlancoUlate, Barbara",13
"McElrone, Andrew J",13
"Michelmore, Richard W",13
"Liu, Bo",12
"Michailides, Themis J",12
"Singh, Ritu",12
"Theg, Steven M",12
"Walker, M Andrew",12
"Buckley, Thomas N",11
"Drakakaki, Georgia",11
"Gepts, Paul",11
"Harmer, Stacey L",11
"Karban, Richard",11
"Knapp, Steven J",10
"Al Rwahnih, Maher",9
"Bloom, Arnold J",9
"Bowman, John L",9
"Dehesh, Katayoon",9
"Falk, Bryce W",9
"Lucas, William J",9
"Oberholster, Anita",9
"Chetelat, Roger T",8
"Gaudin, Amelie C M",8
"Lagarias, John Clark",8
"Luo, MingCheng",8
"Shabek, Nitzan",8
"Brummer, E Charles",7
"Casteel, Clare L",7
"Marino, Giulia",7
"Neale, David B",7
"RossIbarra, Jeffrey",7
"Siddique, Shahid",7
"Ahmed, Mutez Ali",6
"Bennett, Alan B",6
"Britt, Anne B",6
"Brown, Patrick H",6
"Comai, Luca",6
"Debernardi, Juan Manuel",6
"Fennimore, Steven A",6
"Gasser, Charles S",6
"Gradziel, Thomas M",6
"Grewell, Brenda J",6
"Maloof, Julin N",6
"Mason, Grace Alex",6
"Meyers, Blake C",6
"Monroe, J Grey",6
"Nansen, Christian",6
"Parker, Travis A",6
"Simmons, Christopher W",6
"Sivamani, Raja K",6
"Van Deynze, Allen",6
"Avenot, Herve F",5
"Baldwin, Roger A",5
"Bartlett, Megan K",5
"Bostock, Richard M",5
"Bradford, Kent J",5
"Callis, Judy",5
"Feldmann, Mitchell J",5
