,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Dubcovsky, Jorge",110,81,29,11,10,9,1,2
"Kliebenstein, Daniel J",121,87,34,21,5,4,1,2
"Coaker, Gitta L",77,61,16,16,6,6,0,0
"Ronald, Pamela C",93,68,25,16,4,4,0,0
"Cantu, Dario",101,70,31,11,2,2,0,0
"Brady, Siobhan M",88,46,42,15,11,10,1,1
"Tian, Li",51,37,14,8,3,3,0,0
"Subbarao, Krishna V",91,66,25,10,2,2,0,0
"Melotto, Maeli",39,38,1,1,10,9,1,1
"AlKhatib, Kassim",53,36,17,5,0,0,0,0
"DineshKumar, Savithramma P",74,60,14,12,0,0,0,0
"Blumwald, Eduardo",69,64,5,2,2,2,0,0
"Jiang, CaiZhong",81,52,29,10,0,0,0,0
"Kurtural, Sahap Kaan",34,27,7,4,0,0,0,0
"Sinha, Neelima R",55,32,23,11,5,3,2,1
"Zerbe, Philipp",53,40,13,10,3,3,0,0
"Beckles, Diane M",58,53,5,4,0,0,0,0
"Dvorak, Jan",36,4,32,7,2,1,1,1
"Dandekar, Abhaya M",85,52,33,17,1,0,1,2
"Groover, Andrew T",29,17,12,4,0,0,0,0
"Sundaresan, Venkatesan",36,26,10,4,9,8,1,1
"Taylor, Gail",43,36,7,5,2,2,0,0
"BlancoUlate, Barbara",43,18,25,11,0,0,0,0
"McElrone, Andrew J",95,55,40,17,1,0,1,1
"Michelmore, Richard W",86,64,22,19,6,6,0,0
"Liu, Bo",40,39,1,1,4,4,0,0
"Michailides, Themis J",73,45,28,6,1,1,0,0
"Singh, Ritu",15,13,2,1,0,0,0,0
"Theg, Steven M",21,21,0,0,3,3,0,0
"Walker, M Andrew",45,34,11,4,1,1,0,0
"Buckley, Thomas N",54,37,17,14,4,2,2,2
"Drakakaki, Georgia",40,34,6,6,4,4,0,0
"Gepts, Paul",81,48,33,10,6,6,0,0
"Harmer, Stacey L",23,15,8,7,4,4,0,0
"Karban, Richard",53,46,7,1,1,1,0,0
"Knapp, Steven J",48,20,28,7,2,2,0,0
"Al Rwahnih, Maher",82,41,41,6,0,0,0,0
"Bloom, Arnold J",26,16,10,4,6,5,1,2
"Bowman, John L",17,16,1,1,0,0,0,0
"Dehesh, Katayoon",22,11,11,10,0,0,0,0
"Falk, Bryce W",52,44,8,8,2,2,0,0
"Lucas, William J",37,27,10,2,1,1,0,0
"Oberholster, Anita",39,31,8,3,1,1,0,0
"Chetelat, Roger T",13,12,1,2,1,1,0,0
"Gaudin, Amelie C M",69,55,14,10,4,4,0,0
"Lagarias, John Clark",51,50,1,1,1,1,0,0
"Luo, MingCheng",56,22,34,8,0,0,0,0
"Shabek, Nitzan",27,20,7,5,4,4,0,0
"Brummer, E Charles",49,43,6,2,0,0,0,0
"Casteel, Clare L",25,15,10,10,2,2,0,0
"Marino, Giulia",22,12,10,6,0,0,0,0
"Neale, David B",70,36,34,9,4,4,0,0
"RossIbarra, Jeffrey",80,65,15,9,0,0,0,0
"Siddique, Shahid",34,25,9,3,3,3,0,0
"Ahmed, Mutez Ali",17,17,0,0,0,0,0,0
"Bennett, Alan B",14,8,6,3,0,0,0,0
"Britt, Anne B",18,9,9,7,4,1,3,2
"Brown, Patrick H",70,36,34,13,3,3,0,0
"Comai, Luca",81,39,42,9,7,2,5,2
"Debernardi, Juan Manuel",20,4,16,4,0,0,0,0
"Fennimore, Steven A",37,28,9,6,8,8,0,0
"Gasser, Charles S",8,8,0,0,0,0,0,0
"Gradziel, Thomas M",36,27,9,7,0,0,0,0
"Grewell, Brenda J",45,43,2,1,0,0,0,0
"Maloof, Julin N",52,19,33,17,3,1,2,2
"Mason, Grace Alex",14,8,6,6,0,0,0,0
"Meyers, Blake C",32,21,11,10,5,4,1,1
"Monroe, J Grey",35,19,16,12,2,2,0,0
"Nansen, Christian",62,57,5,3,6,6,0,0
"Parker, Travis A",30,7,23,7,1,1,0,0
"Simmons, Christopher W",51,41,10,4,2,2,0,0
"Sivamani, Raja K",144,144,0,0,0,0,0,0
"Van Deynze, Allen",60,46,14,17,0,0,0,0
"Avenot, Herve F",9,0,9,2,0,0,0,0
"Baldwin, Roger A",24,24,0,0,0,0,0,0
"Bartlett, Megan K",20,8,12,6,2,1,1,1
"Bostock, Richard M",28,16,12,11,1,1,0,0
"Bradford, Kent J",32,25,7,8,2,2,0,0
"Callis, Judy",12,11,1,2,1,1,0,0
"Feldmann, Mitchell J",32,5,27,7,3,3,0,0
"Geisseler, Daniel",30,28,2,4,1,1,0,0
"Gordon, Thomas R",54,31,23,12,0,0,0,0
"Harada, John J",17,15,2,3,0,0,0,0
"He, Xinhua",55,55,0,0,0,0,0,0
"Kawa, Dorota",17,9,8,5,0,0,0,0
"McDonald, Karen A",63,14,49,3,10,6,4,2
"Mitcham, Elizabeth J",31,16,15,6,2,2,0,0
"Momayyezi, Mina",10,1,9,5,0,0,0,0
"Swett, Cassandra L",18,14,4,2,2,2,0,0
"Vannette, Rachel L",54,49,5,4,6,6,0,0
"Abel, Steffen",14,14,0,0,0,0,0,0
"Bailey, Brian N",44,31,13,12,3,3,0,0
"DiazGarcia, Luis",18,11,7,5,0,0,0,0
"Fiehn, Oliver",427,403,24,12,4,4,0,0
"GuzmanDelgado, Paula",22,3,19,6,0,0,0,0
"Hanson, Bradley D",53,35,18,8,0,0,0,0
"Khanday, Imtiyaz",8,0,8,2,0,0,0,0
"Lati, Ran N",6,0,6,1,0,0,0,0
