Corresponding Authors,Pubs Num
"Chen, Xuemei",23
"Jin, Hailing",21
"BaileySerres, Julia",19
"Yang, Zhenbiao",18
"Sachs, Joel L",17
"Chen, Meng",12
"Nelson, David C",12
"Roper, M Caroline",11
"Cutler, Sean R",10
"Elkereamy, Ashraf",10
"Eulgem, Thomas",10
"Ma, Wenbo",10
"Rasmussen, Carolyn G",10
"Roberts, Philip A",10
"Dehesh, Katayoon",9
"Reddy, G Venugopala",9
"Xu, Shizhong",9
"Ding, ShouWei",8
"Kaloshian, Isgouhi",8
"Nagel, Dawn H",8
"Walling, Linda L",8
"Flynn, Nora",7
"Giraldo, Juan Pablo",7
"Litt, Amy",7
"Lukaszewski, Adam J",7
"Jia, Zhenyu",6
"Huynh, BaoLam",5
"Judelson, Howard S",5
"Larsen, Paul B",5
"McFrederick, Quinn S",5
"Ramadugu, Chandrika",5
"Van Norman, Jaimie M",5
"Bektas, Harun",4
"Close, Timothy J",4
"Dillman, Adler R",4
"Groen, Simon C",4
"Mauck, Kerry E",4
"Ng, James C K",4
"Rao, A L N",4
"Rolshausen, Philippe E",4
"Adaskaveg, James E",3
"Alber, Mark",3
"AvilaLovera, Eleinis",3
"Byrne, Frank J",3
"Chater, John M",3
"Crowley, David E",3
"Filho, Jaime Barros Silva",3
"Gachomo, Emma W",3
"Grantz, David A",3
"Landis, Jacob B",3
"MunozAmatriain, Maria",3
"Roose, Mikeal L",3
"Song, Jikui",3
"Vidalakis, Georgios",3
"Westphal, Andreas",3
"Bhusal, Narayan",2
"Bowman, Christian S",2
"Chen, Weitao",2
"D Nabity, Paul",2
"De Luna Valdez, Luis",2
"Debus, Richard J",2
"Ehdaie, B",2
"Ettinger, Cassandra L",2
"FrancoNavarro, Francisco",2
"Gallie, Daniel R",2
"GraftonCardwell, Elizabeth E",2
"Haghverdi, Amir",2
"Herniter, Ira A",2
"Li, Yanran",2
"McGiffen, Milton E",2
"Millar, Jocelyn G",2
"Missihoun, Tagnon D",2
"Pagliaccia, Deborah",2
"Pivovaroff, Alexandria L",2
"Schonbeck, Leonie C",2
"Scudiero, Elia",2
"Sun, Chengliang",2
"Vaidya, Aditya S",2
"VillanuevaAlmanza, Lorena",2
"Wilson, Houston",2
"Wu, Honghong",2
