,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Chen, Xuemei",83,68,15,6,2,1,1,1
"Jin, Hailing",54,50,4,4,8,8,0,0
"BaileySerres, Julia",59,55,4,5,0,0,0,0
"Yang, Zhenbiao",54,43,11,7,1,1,0,0
"Sachs, Joel L",30,30,0,0,3,3,0,0
"Chen, Meng",22,15,7,2,4,3,1,1
"Nelson, David C",34,30,4,4,5,5,0,0
"Roper, M Caroline",43,24,19,4,5,5,0,0
"Cutler, Sean R",46,33,13,2,4,4,0,0
"Elkereamy, Ashraf",18,15,3,3,0,0,0,0
"Eulgem, Thomas",13,9,4,5,1,1,0,0
"Ma, Wenbo",37,24,13,7,3,3,0,0
"Rasmussen, Carolyn G",26,19,7,6,8,7,1,1
"Roberts, Philip A",46,21,25,9,1,0,1,1
"Dehesh, Katayoon",26,23,3,4,2,2,0,0
"Reddy, G Venugopala",14,8,6,3,0,0,0,0
"Xu, Shizhong",46,44,2,5,3,3,0,0
"Ding, ShouWei",41,40,1,1,0,0,0,0
"Kaloshian, Isgouhi",23,12,11,9,3,3,0,0
"Nagel, Dawn H",12,10,2,1,3,2,1,1
"Walling, Linda L",24,17,7,3,3,3,0,0
"Flynn, Nora",12,7,5,3,0,0,0,0
"Giraldo, Juan Pablo",51,40,11,1,4,4,0,0
"Litt, Amy",21,16,5,2,3,3,0,0
"Lukaszewski, Adam J",20,17,3,3,1,1,0,0
"Jia, Zhenyu",57,39,18,12,3,3,0,0
"Huynh, BaoLam",24,3,21,6,0,0,0,0
"Judelson, Howard S",33,32,1,1,8,8,0,0
"Larsen, Paul B",9,9,0,0,4,4,0,0
"McFrederick, Quinn S",54,54,0,0,4,4,0,0
"Ramadugu, Chandrika",20,14,6,2,4,4,0,0
"Van Norman, Jaimie M",23,12,11,5,0,0,0,0
"Bektas, Harun",5,4,1,1,0,0,0,0
"Close, Timothy J",40,10,30,7,3,2,1,1
"Dillman, Adler R",55,49,6,2,6,6,0,0
"Groen, Simon C",25,17,8,3,1,1,0,0
"Mauck, Kerry E",34,32,2,2,6,6,0,0
"Ng, James C K",16,14,2,2,2,2,0,0
"Rao, A L N",16,16,0,0,2,2,0,0
"Rolshausen, Philippe E",45,25,20,5,0,0,0,0
"Adaskaveg, James E",30,29,1,1,0,0,0,0
"Alber, Mark",28,14,14,3,6,2,4,1
"AvilaLovera, Eleinis",10,10,0,0,0,0,0,0
"Byrne, Frank J",11,4,7,3,0,0,0,0
"Chater, John M",14,2,12,4,0,0,0,0
"Crowley, David E",44,42,2,1,0,0,0,0
"Filho, Jaime Barros Silva",4,3,1,1,0,0,0,0
"Gachomo, Emma W",7,7,0,0,5,5,0,0
"Grantz, David A",26,25,1,1,0,0,0,0
"Landis, Jacob B",20,15,5,2,0,0,0,0
"MunozAmatriain, Maria",24,3,21,6,0,0,0,0
"Roose, Mikeal L",16,8,8,5,0,0,0,0
"Song, Jikui",64,59,5,2,2,2,0,0
"Vidalakis, Georgios",49,31,18,6,2,2,0,0
"Westphal, Andreas",14,14,0,0,3,3,0,0
"Bhusal, Narayan",4,4,0,0,0,0,0,0
"Bowman, Christian S",7,3,4,7,0,0,0,0
"Chen, Weitao",16,3,13,4,7,3,4,1
"D Nabity, Paul",10,7,3,3,0,0,0,0
"De Luna Valdez, Luis",2,2,0,0,0,0,0,0
"Debus, Richard J",24,24,0,0,1,1,0,0
"Ehdaie, B",2,2,0,0,0,0,0,0
"Ettinger, Cassandra L",21,16,5,2,1,1,0,0
"FrancoNavarro, Francisco",4,3,1,1,0,0,0,0
"Gallie, Daniel R",6,6,0,0,0,0,0,0
"GraftonCardwell, Elizabeth E",62,59,3,1,0,0,0,0
"Haghverdi, Amir",24,24,0,0,6,6,0,0
"Herniter, Ira A",11,0,11,9,0,0,0,0
"Li, Yanran",16,15,1,1,2,2,0,0
"McGiffen, Milton E",9,6,3,2,0,0,0,0
"Millar, Jocelyn G",123,122,1,1,3,3,0,0
"Missihoun, Tagnon D",3,3,0,0,0,0,0,0
"Pagliaccia, Deborah",12,1,11,2,0,0,0,0
"Pivovaroff, Alexandria L",5,3,2,2,0,0,0,0
"Schonbeck, Leonie C",9,7,2,2,0,0,0,0
"Scudiero, Elia",33,32,1,1,3,3,0,0
"Sun, Chengliang",8,8,0,0,0,0,0,0
"Vaidya, Aditya S",13,1,12,1,0,0,0,0
"VillanuevaAlmanza, Lorena",4,3,1,1,0,0,0,0
"Wilson, Houston",31,30,1,1,3,3,0,0
"Wu, Honghong",16,5,11,1,0,0,0,0
