Corresponding Authors,Pubs Num
"Stewart, Charles Neal",50
"Cheng, ZongMing Max",32
"Hewezi, Tarek",30
"Chen, Feng",29
"Steckel, Lawrence E",21
"Lenaghan, Scott C",18
"Binder, Brad M",13
"BurchSmith, Tessa M",11
"Mueller, Thomas C",10
"Staton, Margaret E",10
"Ashworth, Amanda J",9
"Bruce, Barry D",9
"Shekoofa, Avat",9
"Brosnan, James T",8
"JuratFuentes, Juan Luis",8
"Yin, Xinhua",8
"Ragauskas, Arthur J",7
"von Arnim, Albrecht G",7
"Pantalone, Vince",6
"Sams, Carl E",6
"Williams, Joseph H",6
"Yang, Xiaohan",6
"Budke, Jessica M",5
"Dia, Vermont P",5
"Heberling, J Mason",5
"Matheny, P Brandon",5
"Occhialini, Alessandro",5
"Roberts, Daniel M",5
"Schadt, Christopher W",5
"Trigiano, Robert N",5
"Millwood, Reginald J",4
"Nebenfuhr, Andreas",4
"Nowicki, Marcin",4
"Olukolu, Bode A",4
"Schilling, Edward E",4
"Shpak, Elena D",4
"Sykes, Virginia R",4
"Boyer, Christopher N",3
"Butler, David M",3
"Gaoue, Orou G",3
"Hajimorad, M R",3
"Jacobson, Daniel A",3
"Keyser, Patrick D",3
"Kivlin, Stephanie N",3
"La Guardia Nave, Renata",3
"Russo, Laura",3
"Shrestha, Surya L",3
"Smallwood, Christopher J",3
"Akpa, Belinda S",2
"Alexandre, Gladys M",2
"Audley, Jackson",2
"Benelli, JJ",2
"Bernard, Ernest C",2
"Bhandari, Hem S",2
"Bisangwa, Eric",2
"Carr, Tyler Q",2
"Carroll, Devon E",2
"D'Souza, Doris H",2
"Dickson, Kyley H",2
"Edwards, Joseph D",2
"Gwinn, Kimberly D",2
"Hadziabdic, Denita",2
"Hughes, Karen W",2
"Islam, Tabibul",2
"Kopsell, Dean A",2
"Mazarei, Mitra",2
"Munafo, John P",2
"Piasecki, Cristiano",2
"Price, Charles A",2
"Prigge, Jessica L",2
"Raza, Taqi",2
"Read, Quentin D",2
"Rhodes, G Neil",2
"Sahoo, Manas Ranjan",2
"Suissa, Jacob S",2
"Zhou, Xia Vivian",2
