,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Stewart, Charles Neal",142,52,90,16,2,2,0,0
"Cheng, ZongMing Max",42,34,8,4,0,0,0,0
"Hewezi, Tarek",69,40,29,15,3,3,0,0
"Chen, Feng",98,82,16,17,1,1,0,0
"Steckel, Lawrence E",49,32,17,2,0,0,0,0
"Lenaghan, Scott C",54,10,44,7,2,2,0,0
"Binder, Brad M",39,33,6,5,5,3,2,2
"BurchSmith, Tessa M",32,22,10,7,0,0,0,0
"Mueller, Thomas C",37,14,23,7,1,1,0,0
"Staton, Margaret E",77,46,31,15,2,1,1,1
"Ashworth, Amanda J",37,26,11,6,0,0,0,0
"Bruce, Barry D",51,50,1,1,4,3,1,1
"Shekoofa, Avat",27,15,12,10,1,1,0,0
"Brosnan, James T",68,46,22,9,0,0,0,0
"JuratFuentes, Juan Luis",68,64,4,5,0,0,0,0
"Yin, Xinhua",60,48,12,6,0,0,0,0
"Ragauskas, Arthur J",459,450,9,4,4,4,0,0
"von Arnim, Albrecht G",16,16,0,0,0,0,0,0
"Pantalone, Vince",36,10,26,15,0,0,0,0
"Sams, Carl E",39,13,26,13,0,0,0,0
"Williams, Joseph H",11,10,1,2,0,0,0,0
"Yang, Xiaohan",36,19,17,6,0,0,0,0
"Budke, Jessica M",17,15,2,3,3,3,0,0
"Dia, Vermont P",63,53,10,4,3,3,0,0
"Heberling, J Mason",10,10,0,0,0,0,0,0
"Matheny, P Brandon",56,48,8,3,0,0,0,0
"Occhialini, Alessandro",21,3,18,3,1,1,0,0
"Roberts, Daniel M",12,8,4,3,1,1,0,0
"Schadt, Christopher W",41,38,3,2,0,0,0,0
"Trigiano, Robert N",68,16,52,13,1,1,0,0
"Millwood, Reginald J",19,1,18,7,0,0,0,0
"Nebenfuhr, Andreas",12,11,1,1,0,0,0,0
"Nowicki, Marcin",35,13,22,6,0,0,0,0
"Olukolu, Bode A",31,26,5,7,1,1,0,0
"Schilling, Edward E",22,19,3,3,0,0,0,0
"Shpak, Elena D",13,13,0,0,2,1,1,1
"Sykes, Virginia R",32,8,24,19,1,1,0,0
"Boyer, Christopher N",62,50,12,6,4,4,0,0
"Butler, David M",35,25,10,11,2,2,0,0
"Gaoue, Orou G",50,50,0,0,2,2,0,0
"Hajimorad, M R",17,16,1,3,0,0,0,0
"Jacobson, Daniel A",91,83,8,7,0,0,0,0
"Keyser, Patrick D",52,36,16,7,4,4,0,0
"Kivlin, Stephanie N",48,39,9,5,6,5,1,1
"La Guardia Nave, Renata",22,16,6,7,2,2,0,0
"Russo, Laura",21,18,3,2,0,0,0,0
"Shrestha, Surya L",7,2,5,2,0,0,0,0
"Smallwood, Christopher J",10,0,10,6,0,0,0,0
"Akpa, Belinda S",7,7,0,0,1,1,0,0
"Alexandre, Gladys M",36,35,1,1,6,4,2,2
"Audley, Jackson",3,3,0,0,0,0,0,0
"Benelli, JJ",2,2,0,0,0,0,0,0
"Bernard, Ernest C",31,25,6,7,1,1,0,0
"Bhandari, Hem S",19,2,17,8,1,1,0,0
"Bisangwa, Eric",5,0,5,5,0,0,0,0
"Carr, Tyler Q",6,2,4,3,0,0,0,0
"Carroll, Devon E",8,0,8,6,0,0,0,0
"D'Souza, Doris H",42,35,7,2,1,1,0,0
"Dickson, Kyley H",16,14,2,3,0,0,0,0
"Edwards, Joseph D",10,5,5,1,0,0,0,0
"Gwinn, Kimberly D",23,11,12,7,5,5,0,0
"Hadziabdic, Denita",43,14,29,6,1,1,0,0
"Hughes, Karen W",26,19,7,2,1,1,0,0
"Islam, Tabibul",6,6,0,0,0,0,0,0
"Kopsell, Dean A",17,3,14,4,0,0,0,0
"Mazarei, Mitra",43,0,43,11,0,0,0,0
"Munafo, John P",40,39,1,2,3,3,0,0
"Piasecki, Cristiano",11,2,9,6,0,0,0,0
"Price, Charles A",15,13,2,3,0,0,0,0
"Prigge, Jessica L",3,0,3,3,0,0,0,0
"Raza, Taqi",18,18,0,0,0,0,0,0
"Read, Quentin D",11,9,2,2,0,0,0,0
"Rhodes, G Neil",2,0,2,1,0,0,0,0
"Sahoo, Manas Ranjan",3,2,1,2,0,0,0,0
"Suissa, Jacob S",7,6,1,1,0,0,0,0
"Zhou, Xia Vivian",13,6,7,4,0,0,0,0
