Corresponding Authors,Pubs Num
"Robins, Joseph G",15
"Kaundal, Rakesh",11
"Borghi, Monica",7
"Kulmatiski, Andrew",7
"Jensen, Kevin B",6
"Kaundal, Amita",6
"Wang, Richard RC",6
"Wolf, Paul G",6
"Anderson, Anne J",4
"Kusuma, Paul",4
"MacAdam, Jennifer W",4
"Barkworth, Mary E",3
"Britt, David W",3
"Colegate, Steven M",3
"Larson, Steven R",3
"Schneider, Gerald F",3
"Zhen, Shuyang",3
"Beard, Karen H",2
"Beckman, Noelle G",2
"Bugbee, Bruce",2
"Cane, James H",2
"Carman, John G",2
"Doucette, William J",2
"Fu, Guifang",2
"Monaco, Thomas A",2
"Mott, Keith A",2
"Neto, Michel Esper",2
"Peel, Michael D",2
"Poudyal, Shital",2
"Rauter, Shannon",2
"Rohal, Christine Brenda",2
"Schupp, Eugene W",2
"Scoffoni, Christine",2
"Sun, Youping",2
"Swaminathan, Vaishali",2
"Takemoto, Jon Y",2
"Villalba, Juan J",2
"Westmoreland, F Mitchell",2
"Zhan, Jixun",2
