,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Robins, Joseph G",39,19,20,4,0,0,0,0
"Kaundal, Rakesh",37,36,1,1,2,2,0,0
"Borghi, Monica",15,14,1,1,3,3,0,0
"Kulmatiski, Andrew",38,22,16,1,2,2,0,0
"Jensen, Kevin B",37,8,29,6,0,0,0,0
"Kaundal, Amita",23,19,4,3,2,2,0,0
"Wang, Richard RC",18,13,5,3,0,0,0,0
"Wolf, Paul G",18,17,1,1,1,1,0,0
"Anderson, Anne J",37,17,20,1,2,0,2,1
"Kusuma, Paul",14,0,14,3,0,0,0,0
"MacAdam, Jennifer W",32,19,13,1,1,1,0,0
"Barkworth, Mary E",17,16,1,1,1,1,0,0
"Britt, David W",43,18,25,3,6,4,2,1
"Colegate, Steven M",7,7,0,0,0,0,0,0
"Larson, Steven R",9,3,6,4,0,0,0,0
"Schneider, Gerald F",5,3,2,1,0,0,0,0
"Zhen, Shuyang",12,0,12,4,0,0,0,0
"Beard, Karen H",61,45,16,1,3,3,0,0
"Beckman, Noelle G",29,22,7,2,2,2,0,0
"Bugbee, Bruce",58,35,23,3,0,0,0,0
"Cane, James H",21,20,1,1,0,0,0,0
"Carman, John G",6,6,0,0,0,0,0,0
"Doucette, William J",7,7,0,0,0,0,0,0
"Fu, Guifang",8,8,0,0,0,0,0,0
"Monaco, Thomas A",39,31,8,7,0,0,0,0
"Mott, Keith A",4,4,0,0,0,0,0,0
"Neto, Michel Esper",5,1,4,1,0,0,0,0
"Peel, Michael D",16,11,5,3,0,0,0,0
"Poudyal, Shital",5,3,2,1,0,0,0,0
"Rauter, Shannon",3,2,1,1,0,0,0,0
"Rohal, Christine Brenda",6,6,0,0,0,0,0,0
"Schupp, Eugene W",22,14,8,3,0,0,0,0
"Scoffoni, Christine",2,2,0,0,0,0,0,0
"Sun, Youping",31,29,2,2,2,2,0,0
"Swaminathan, Vaishali",3,3,0,0,0,0,0,0
"Takemoto, Jon Y",28,25,3,1,0,0,0,0
"Villalba, Juan J",57,41,16,4,5,5,0,0
"Westmoreland, F Mitchell",7,1,6,3,0,0,0,0
"Zhan, Jixun",56,53,3,1,4,4,0,0
