,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Preston, Jill C",27,26,1,1,5,5,0,0
"von Wettberg, Eric J B",58,56,2,1,0,0,0,0
"Sundue, Michael A",46,36,10,2,3,3,0,0
"Keller, Stephen R",42,35,7,2,5,5,0,0
"Fetter, Karl C",4,0,4,1,0,0,0,0
"Harris, Jeanne Marie",13,12,1,2,1,0,1,1
"Tierney, Mary L",4,2,2,2,1,1,0,0
"Barrington, David S",22,16,6,3,2,1,1,1
"Bradshaw, Terence L",3,3,0,0,4,4,0,0
"Brody, Alison K",13,9,4,2,1,0,1,1
"Gonzalez, Jonathan B",4,0,4,2,0,0,0,0
"Guo, Mingruo",136,136,0,0,0,0,0,0
"Lintilhac, Philip M",4,4,0,0,0,0,0,0
"Molofsky, Jane",11,8,3,1,2,2,0,0
"RuizArocho, Jorge",9,7,2,1,0,0,0,0
"Testo, Weston",18,8,10,2,1,0,1,1
