Corresponding Authors,Pubs Num
"Askew, Shawn D",25
"Sherif, Sherif M",20
"Zhang, Bo",19
"Flessner, Michael L",16
"Kingston, David G I",15
"Li, Song",12
"Balota, Maria",11
"Barney, Jacob N",11
"Morota, Gota",11
"Tholl, Dorothea",11
"Zhang, Xunzhong",11
"Maroof, M A Saghai",10
"Zhao, Bingyu",10
"Westwood, James H",9
"Brunner, Amy M",7
"Fukao, Takeshi",7
"Tracy, Benjamin F",7
"Bombarely, Aureliano",6
"Kong, Ping",6
"Holliday, Jason A",5
"McDowell, John M",5
"Pilot, Guillaume",5
"Samtani, Jayesh B",5
"Acimovic, Sran G",4
"Bargmann, Bastiaan O R",4
"Leisner, Courtney P",4
"Nita, Mizuho",4
"Okumoto, Sakiko",4
"Owen, James S",4
"Whitehead, Susan R",4
"Winkel, Brenda S J",4
"Wisniewski, Michael",4
"Beers, Eric P",3
"Boreyko, Jonathan B",3
"Brooks, Wynse",3
"Campbell, Malachy T",3
"Coates, T Adam",3
"Dan, Yinghui",3
"Griffey, Carl",3
"Liu, Limei",3
"McCall, David S",3
"Santantonio, Nicholas",3
"Veilleux, Richard E",3
"Vieira, Paulo",3
"Vinatzer, Boris Alexander",3
"Wang, Xiaofeng",3
"Yang, Xiao",3
"Angelella, G M",2
"Atwater, Daniel Z",2
"Badzmierowski, Mike J",2
"Battaglia, Martin",2
"Bekelja, Kyle M",2
"Bergh, J Christopher",2
"Brasier, Kyle G",2
"Carter, David R",2
"Chandel, Abhilash K",2
"Eisenback, Jonathan D",2
"Ervin, Erik H",2
"Flinn, Barry S",2
"Galbraith, John M",2
"Gillaspy, Glenda E",2
"Grene, Ruth",2
"Helm, Richard F",2
"Hutchens, W J",2
"Jelesko, John G",2
"Jones, Anne C",2
"Liu, Dongmin",2
"Lowman, Scott",2
"Mevers, Emily",2
"Miller, Rebekah",2
"Nilsen, Erik T",2
"O'Rourke, Megan E",2
"Park, SoYon",2
"Poudel, Sanjok",2
"Rideout, Steven",2
"Schmale, David G",2
"Thomason, Wade",2
"Tyler, Brett M",2
"Wang, Zhibo",2
"Welbaum, Gregory E",2
"Williams, Mark A",2
"Wright, R Clay",2
