,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Askew, Shawn D",72,58,14,6,0,0,0,0
"Sherif, Sherif M",42,38,4,5,4,3,1,1
"Zhang, Bo",86,65,21,9,4,4,0,0
"Flessner, Michael L",54,48,6,3,3,3,0,0
"Kingston, David G I",53,53,0,0,1,1,0,0
"Li, Song",67,32,35,15,6,4,2,1
"Balota, Maria",40,27,13,5,6,6,0,0
"Barney, Jacob N",68,45,23,9,1,1,0,0
"Morota, Gota",88,76,12,4,1,1,0,0
"Tholl, Dorothea",29,25,4,3,3,3,0,0
"Zhang, Xunzhong",48,30,18,6,0,0,0,0
"Maroof, M A Saghai",14,9,5,3,0,0,0,0
"Zhao, Bingyu",34,17,17,11,2,2,0,0
"Westwood, James H",32,20,12,6,5,4,1,1
"Brunner, Amy M",20,14,6,4,0,0,0,0
"Fukao, Takeshi",15,8,7,4,1,1,0,0
"Tracy, Benjamin F",23,19,4,3,3,3,0,0
"Bombarely, Aureliano",45,38,7,5,1,1,0,0
"Kong, Ping",26,25,1,1,0,0,0,0
"Holliday, Jason A",29,29,0,0,4,4,0,0
"McDowell, John M",25,15,10,8,4,3,1,1
"Pilot, Guillaume",21,12,9,7,2,2,0,0
"Samtani, Jayesh B",21,19,2,2,2,2,0,0
"Acimovic, Sran G",25,25,0,0,0,0,0,0
"Bargmann, Bastiaan O R",14,5,9,4,9,6,3,2
"Leisner, Courtney P",13,11,2,1,3,3,0,0
"Nita, Mizuho",21,16,5,4,1,1,0,0
"Okumoto, Sakiko",7,3,4,2,0,0,0,0
"Owen, James S",27,25,2,2,1,1,0,0
"Whitehead, Susan R",40,32,8,4,5,5,0,0
"Winkel, Brenda S J",19,13,6,4,2,1,1,1
"Wisniewski, Michael",32,28,4,1,0,0,0,0
"Beers, Eric P",8,2,6,4,1,1,0,0
"Boreyko, Jonathan B",68,64,4,1,5,5,0,0
"Brooks, Wynse",8,0,8,5,0,0,0,0
"Campbell, Malachy T",12,2,10,1,0,0,0,0
"Coates, T Adam",25,21,4,1,0,0,0,0
"Dan, Yinghui",3,2,1,2,0,0,0,0
"Griffey, Carl",17,5,12,7,0,0,0,0
"Liu, Limei",10,4,6,5,0,0,0,0
"McCall, David S",32,13,19,7,1,1,0,0
"Santantonio, Nicholas",12,10,2,5,0,0,0,0
"Veilleux, Richard E",18,12,6,5,1,1,0,0
"Vieira, Paulo",23,16,7,2,0,0,0,0
"Vinatzer, Boris Alexander",66,50,16,8,6,6,0,0
"Wang, Xiaofeng",25,24,1,1,2,2,0,0
"Yang, Xiao",26,25,1,1,0,0,0,0
"Angelella, G M",4,4,0,0,0,0,0,0
"Atwater, Daniel Z",16,8,8,1,0,0,0,0
"Badzmierowski, Mike J",7,3,4,3,1,1,0,0
"Battaglia, Martin",13,7,6,1,0,0,0,0
"Bekelja, Kyle M",13,13,0,0,0,0,0,0
"Bergh, J Christopher",32,30,2,1,1,1,0,0
"Brasier, Kyle G",6,0,6,4,0,0,0,0
"Carter, David R",39,35,4,1,0,0,0,0
"Chandel, Abhilash K",20,17,3,1,0,0,0,0
"Eisenback, Jonathan D",23,16,7,2,0,0,0,0
"Ervin, Erik H",17,0,17,5,0,0,0,0
"Flinn, Barry S",5,1,4,4,0,0,0,0
"Galbraith, John M",18,18,0,0,2,2,0,0
"Gillaspy, Glenda E",24,23,1,1,3,3,0,0
"Grene, Ruth",11,4,7,2,0,0,0,0
"Helm, Richard F",57,47,10,7,4,3,1,1
"Hutchens, W J",7,2,5,1,0,0,0,0
"Jelesko, John G",8,4,4,3,2,2,0,0
"Jones, Anne C",6,6,0,0,1,1,0,0
"Liu, Dongmin",49,48,1,1,0,0,0,0
"Lowman, Scott",6,3,3,3,0,0,0,0
"Mevers, Emily",28,28,0,0,0,0,0,0
"Miller, Rebekah",2,0,2,1,0,0,0,0
"Nilsen, Erik T",9,8,1,2,0,0,0,0
"O'Rourke, Megan E",11,11,0,0,0,0,0,0
"Park, SoYon",9,4,5,1,0,0,0,0
"Poudel, Sanjok",18,18,0,0,0,0,0,0
"Rideout, Steven",12,6,6,6,0,0,0,0
"Schmale, David G",71,58,13,8,10,10,0,0
"Thomason, Wade",31,12,19,10,1,1,0,0
"Tyler, Brett M",11,9,2,2,0,0,0,0
"Wang, Zhibo",10,1,9,7,0,0,0,0
"Welbaum, Gregory E",18,11,7,5,0,0,0,0
"Williams, Mark A",34,30,4,5,4,4,0,0
"Wright, R Clay",23,18,5,2,0,0,0,0
