Corresponding Authors,Pubs Num
"Carter, Arron H",46
"Cousins, Asaph B",26
"Browse, John",20
"Lange, Bernd Markus",19
"Pappu, Hanu R",19
"Chen, Xianming",18
"Steber, Camille M",18
"Gill, Kulvinder S",17
"Okita, Thomas W",17
"Dhingra, Amit",16
"Sankaran, Sindhuja",16
"Tegeder, Mechthild",16
"Tanaka, Kiwamu",14
"Morris, Craig F",13
"Neff, Michael M",13
"Bates, Philip D",12
"Kirchhoff, Helmut",12
"Kunz, HansHenning",12
"Musacchi, Stefano",12
"Sanguinet, Karen A",12
"Zhang, Zhiwu",12
"Kalcsits, Lee A",11
"Knoblauch, Michael",11
"McCubbin, Andrew G",11
"Murphy, Kevin M",11
"Peace, Cameron P",11
"Poovaiah, B W",11
"Smertenko, Andrei",11
"Khot, Lav R",10
"Pumphrey, Michael O",10
"Campbell, Kimberly A Garland",9
"DeVetter, Lisa Wasko",9
"Kang, ChulHee",9
"Lewis, Norman G",9
"Miklas, Phillip N",9
"Evans, Kate M",8
"Hellmann, Hanjo A",8
"Lyon, Drew J",8
"Paulitz, Timothy C",8
"Rustgi, Sachin",8
"Hulbert, Scot H",7
"Keller, Markus",7
"McGee, Rebecca J",7
"Miles, Carol",7
Washington State University),7
"Brueggeman, Robert S",6
"Edwards, Gerald E",6
"Gyawali, Sanjaya",6
"Kumar, G N Mohan",6
"See, Deven R",6
"Dugan, Frank M",5
"Gang, David R",5
"Ku, Maurice S B",5
"Li, Xianran",5
"Roalson, Eric H",5
"Thomashow, Linda S",5
"Vandemark, George",5
"Franco, Jessica",4
"Ganjyal, Girish M",4
"Hadwiger, Lee A",4
"Hauvermale, Amber L",4
"Knowles, N Richard",4
"Moran, James J",4
"Morgounov, Alexey",4
"Naidu, Rayapati A",4
"Peters, Winfried S",4
"Serra, Sara",4
"du Toit, Lindsey J",4
"Bartley, Laura E",3
"Berim, Anna",3
"Blanco, Victor",3
"Blauer, Jacob M",3
"Burke, Ian C",3
"Campbell, Kim Garland",3
"Cheeke, Tanya E",3
"Chen, Weidong",3
"Coyne, Clarice J",3
"Crowder, David W",3
"Ellsworth, Patrick Z",3
"Friesen, Maren L",3
"JimenezMejias, Pedro",3
"Kahn, Michael L",3
"Karkee, Manoj",3
"Main, Dorrie",3
"Peterson, Jean Catherine Dodson",3
"Piaskowski, Julia",3
"Reganold, John P",3
"RodriguezFurlan, Cecilia",3
"Schaeffer, Robert N",3
"Skinner, Daniel Z",3
"Sonawane, Balasaheb V",3
"Sullivan, Tarah S",3
"Teixeira, Marcella Alves",3
"Torres, Carolina A",3
"Wei, Wei",3
"Whiting, Matthew D",3
"Wright, Alice A",3
"von Wettstein, Diter",3
"Ahkami, Amir H",2
"Ahmed, Mukhtar",2
"Alam, Mohammad Zahangeer",2
"Alvarez, Hector Camargo",2
"BeaverKanuya, E",2
"Bengyella, Louis",2
"Beyenal, Haluk",2
"BrewAppiah, Rhoda A T",2
"Chandel, Abhilash K",2
"Chastagner, Gary A",2
"Cort, John R",2
"Du, Liqun",2
"DuPont, S Tianna",2
"Enyew, Muluken",2
"Evans, Katherine M",2
"Ficklin, Stephen P",2
"Fu, Daolin",2
"Garfinkel, Andrea R",2
"Gargouri, Mahmoud",2
"Gleason, Cynthia A",2
"Hammad, Hafiz Mohkum",2
"Jack, Chandra N",2
"Jones, Stephen S",2
"Landry, Erik J",2
"McCord, Per H",2
"Mishra, Gayatri",2
"Naruoka, Yukiko",2
"Navarre, Duroy A",2
"Norberg, Steven",2
"OHearn, Jonathan S",2
"Pathare, Varsha S",2
"Porter, Stephanie S",2
"Quinlan, Marsha B",2
"Roje, Sanja",2
"Sanad, Marwa N M E",2
"SchmidtJeffris, Rebecca A",2
"Tian, Li",2
"Tymon, Lydia S",2
"Uhdre, Renan Santos",2
"Villamor, D E V",2
"Wang, Shaojin",2
