,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Carter, Arron H",103,42,61,23,3,3,0,0
"Cousins, Asaph B",63,29,34,16,3,3,0,0
"Browse, John",30,28,2,1,1,1,0,0
"Lange, Bernd Markus",51,47,4,5,5,5,0,0
"Pappu, Hanu R",80,69,11,10,5,5,0,0
"Chen, Xianming",182,115,67,20,2,2,0,0
"Steber, Camille M",37,10,27,16,0,0,0,0
"Gill, Kulvinder S",31,22,9,9,1,1,0,0
"Okita, Thomas W",33,14,19,6,6,4,2,3
"Dhingra, Amit",54,38,16,16,2,2,0,0
"Sankaran, Sindhuja",82,19,63,28,5,5,0,0
"Tegeder, Mechthild",24,24,0,0,8,6,2,2
"Tanaka, Kiwamu",44,23,21,16,3,2,1,1
"Morris, Craig F",103,62,41,18,0,0,0,0
"Neff, Michael M",24,17,7,4,2,2,0,0
"Bates, Philip D",35,28,7,8,7,6,1,1
"Kirchhoff, Helmut",36,25,11,10,7,6,1,1
"Kunz, HansHenning",29,21,8,6,0,0,0,0
"Musacchi, Stefano",30,2,28,8,2,2,0,0
"Sanguinet, Karen A",40,19,21,23,1,1,0,0
"Zhang, Zhiwu",85,56,29,27,6,5,1,2
"Kalcsits, Lee A",42,24,18,11,1,1,0,0
"Knoblauch, Michael",38,18,20,4,5,3,2,2
"McCubbin, Andrew G",18,13,5,5,0,0,0,0
"Murphy, Kevin M",74,37,37,15,5,5,0,0
"Peace, Cameron P",39,21,18,7,0,0,0,0
"Poovaiah, B W",17,3,14,3,0,0,0,0
"Smertenko, Andrei",40,30,10,11,7,6,1,1
"Khot, Lav R",104,47,57,16,5,5,0,0
"Pumphrey, Michael O",53,13,40,19,2,2,0,0
"Campbell, Kimberly A Garland",40,4,36,16,0,0,0,0
"DeVetter, Lisa Wasko",56,41,15,8,3,3,0,0
"Kang, ChulHee",47,43,4,3,2,2,0,0
"Lewis, Norman G",23,12,11,3,4,3,1,1
"Miklas, Phillip N",30,21,9,8,0,0,0,0
"Evans, Kate M",28,15,13,9,0,0,0,0
"Hellmann, Hanjo A",22,15,7,5,1,1,0,0
"Lyon, Drew J",30,27,3,1,0,0,0,0
"Paulitz, Timothy C",75,42,33,15,2,2,0,0
"Rustgi, Sachin",31,7,24,7,0,0,0,0
"Hulbert, Scot H",34,11,23,17,4,4,0,0
"Keller, Markus",70,60,10,5,3,3,0,0
"McGee, Rebecca J",76,22,54,16,0,0,0,0
"Miles, Carol",28,13,15,5,2,2,0,0
Washington State University),0,0,0,0,0,0,0,0
"Brueggeman, Robert S",37,29,8,12,1,1,0,0
"Edwards, Gerald E",19,8,11,7,0,0,0,0
"Gyawali, Sanjaya",14,8,6,2,0,0,0,0
"Kumar, G N Mohan",9,0,9,6,0,0,0,0
"See, Deven R",50,3,47,17,0,0,0,0
"Dugan, Frank M",12,9,3,5,0,0,0,0
