,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Barrett, Craig F",33,32,1,1,0,0,0,0
"Benedito, Vagner Augusto",55,54,1,1,4,4,0,0
"Kovinich, Nik",10,10,0,0,0,0,0,0
"Gutensohn, Michael",12,6,6,1,4,4,0,0
"Rahman, Mahfuzur",33,33,0,0,0,0,0,0
"Waterland, Nicole L",13,12,1,1,0,0,0,0
"Anderson, James T",67,67,0,0,0,0,0,0
"DiFazio, Stephen P",41,39,2,2,0,0,0,0
"Ku, KangMo",27,25,2,2,0,0,0,0
"McDonald, Louis M",30,28,2,1,0,0,0,0
"Park, YongLak",43,34,9,4,0,0,0,0
"Hawkins, Jennifer S",10,9,1,1,0,0,0,0
"Kannenberg, Steven A",18,18,0,0,0,0,0,0
"Lehrer, Melissa A",2,1,1,1,0,0,0,0
"Morrissey, Ember M",51,49,2,1,4,4,0,0
"Rayburn, Edward B",18,16,2,1,0,0,0,0
"Whetsell, Marcella",3,1,2,1,0,0,0,0
