Corresponding Authors,Pubs Num
"Weng, Yiqun",34
"Werle, Rodrigo",20
"Maeda, Hiroshi A",19
"Ane, JeanMichel",18
"Otegui, Marisa S",16
"Simon, Philipp W",16
"Gutierrez, Lucia",15
"Tracy, William F",15
"Kaeppler, Shawn M",14
"Zalapa, Juan",14
"Jiang, Jiming",13
"Zhong, Xuehua",13
"Gilroy, Simon",12
"Spalding, Edgar P",12
"Amasino, Richard M",11
"Jansky, Shelley H",11
"Bent, Andrew F",10
"Brunkard, Jacob Oliver",10
"Givnish, Thomas J",10
"Goldman, Irwin L",10
"Ralph, John",10
"Vierstra, Richard D",10
"Brunet, Johanne",9
"Colquhoun, Jed B",9
"Endelman, Jeffrey B",9
"de Leon, Natalia",9
"Bugni, Tim S",8
"Doebley, John F",8
"Havey, Michael J",8
"Kabbage, Mehdi",8
"Masson, Patrick H",8
"Rakotondrafara, Aurelie M",8
"Spooner, David M",8
"Allen, Caitilyn",7
"Atucha, Amaya",7
"Busche, Michael",7
"Bednarek, Sebastian Y",6
"Krysan, Patrick J",6
"Rose, Jeffrey P",6
"Toyota, Masatsugu",6
"Zhang, Zhou",6
"Barak, Jeri D",5
"Fernandez, Donna E",5
"Gaspar, Adam P",5
"Koch, Paul L",5
"Kovaleski, Al P",5
"Picasso, Valentin D",5
"Renz, Mark J",5
"Sussman, Michael R",5
"Alptekin, Burcu",4
"Beck, Jared J",4
"Connolly, Brian M",4
"Couture, John J",4
"Dawson, Julie C",4
"Devi, Mura Jyostna",4
"Kaeppler, Heidi F",4
"Krieg, Christopher P",4
"Loarca, Jenyne",4
"Mishra, Divya",4
"Mourtzinis, Spyridon",4
"Palta, Jiwan P",4
"Raffa, Kenneth F",4
"Smith, Damon L",4
"Soldat, Douglas J",4
"Tanumihardjo, Sherry A",4
"Tilhou, Neal Wepking",4
"Tiwari, Manish",4
"Baum, David A",3
"Bethke, Paul C",3
"Casler, Michael D",3
"Chin, Sabrina",3
"Davis, Vince M",3
"Hartemink, Alfred E",3
"Jahn, Molly M",3
"KeefoverRing, Ken",3
"Keller, Nancy P",3
"Li, Zhengzhen",3
"Marburger, David A",3
"Pace, Matthew C",3
"Patterson, Sara E",3
"Ravindran, Prabu",3
"RubertNason, Kennedy F",3
"Sytsma, Kenneth J",3
"Wang, Yi",3
"WillWolf, Susan",3
"Woods, Daniel P",3
"Yokoyama, Ryo",3
"Arevalo, Rafael",2
"Bedair, Heba",2
"Bingham, Edwin",2
"Bolling, Bradley W",2
"Brainard, Scott H",2
"Buhl, Christine",2
"Butler, Nathaniel M",2
"Chaiyakunapruk, Nathorn",2
"Chou, MingYi",2
"Cope, Olivia L",2
"Currie, Cameron R",2
"Delaux, PierreMarc",2
"ElAzaz, Jorge",2
"Freed, Catherine",2
"Gasch, Audrey P",2
"Gianola, Daniel",2
"Graham, Linda E",2
"Guedot, Christelle",2
"Guiden, Peter W",2
"Hamers, Robert J",2
"Henn, Jonathan J",2
"Ikeda, Shinya",2
"Ladwig, Laura M",2
"Lankau, Richard A",2
"Li, Lingjun",2
"Liu, Bing",2
"Lu, Fachuang",2
"Malone, Shealyn C",2
"Mansfield, Shawn D",2
"Matias, Filipe Inacio",2
"McCulloh, Katherine A",2
"Moore, Bethany M",2
"Muir, Christopher D",2
"Orrock, John L",2
"Pfleger, Brian F",2
"Popova, Inna",2
"Ramstein, Guillaume P",2
"Rattunde, Henry Frederick W",2
"Rayment, Ivan",2
"RodriguezBonilla, Lorraine",2
"Sedbrook, John C",2
"Silva, Tatiane Severo",2
"Smith, Rebecca A",2
"Sripathi, Raghuveer",2
"Toczydlowski, Rachel H",2
"Venkateshwaran, Muthusubramanian",2
"Wang, Tina",2
"Wang, Yuhui",2
"Wang, Zhihui",2
"Wiedenhoeft, Alex C",2
