,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Weng, Yiqun",108,83,25,7,1,1,0,0
"Werle, Rodrigo",78,66,12,7,1,1,0,0
"Maeda, Hiroshi A",52,34,18,7,8,8,0,0
"Ane, JeanMichel",87,46,41,15,0,0,0,0
"Otegui, Marisa S",76,66,10,5,7,5,2,2
"Simon, Philipp W",70,38,32,9,0,0,0,0
"Gutierrez, Lucia",49,45,4,2,0,0,0,0
"Tracy, William F",49,45,4,4,3,3,0,0
"Kaeppler, Shawn M",91,12,79,15,1,1,0,0
"Zalapa, Juan",59,29,30,11,0,0,0,0
"Jiang, Jiming",54,36,18,11,0,0,0,0
"Zhong, Xuehua",38,37,1,2,4,3,1,1
"Gilroy, Simon",56,41,15,6,18,14,4,2
"Spalding, Edgar P",39,20,19,11,3,2,1,1
"Amasino, Richard M",20,7,13,3,1,1,0,0
"Jansky, Shelley H",42,23,19,9,0,0,0,0
"Bent, Andrew F",27,25,2,1,0,0,0,0
"Brunkard, Jacob Oliver",20,14,6,1,0,0,0,0
"Givnish, Thomas J",43,30,13,7,3,2,1,1
"Goldman, Irwin L",41,29,12,6,2,2,0,0
"Ralph, John",208,130,78,10,2,2,0,0
"Vierstra, Richard D",30,22,8,4,1,0,1,1
"Brunet, Johanne",27,23,4,3,0,0,0,0
"Colquhoun, Jed B",24,20,4,4,0,0,0,0
"Endelman, Jeffrey B",38,24,14,6,5,5,0,0
"de Leon, Natalia",78,19,59,13,0,0,0,0
"Bugni, Tim S",65,43,22,3,0,0,0,0
"Doebley, John F",16,16,0,0,1,1,0,0
"Havey, Michael J",28,25,3,3,2,1,1,1
"Kabbage, Mehdi",36,7,29,6,1,1,0,0
"Masson, Patrick H",15,13,2,2,1,1,0,0
"Rakotondrafara, Aurelie M",25,21,4,4,0,0,0,0
"Spooner, David M",29,11,18,5,0,0,0,0
"Allen, Caitilyn",53,49,4,4,2,2,0,0
"Atucha, Amaya",36,11,25,10,4,4,0,0
"Busche, Michael",12,6,6,1,1,1,0,0
"Bednarek, Sebastian Y",20,20,0,0,3,3,0,0
"Krysan, Patrick J",20,17,3,2,3,2,1,1
"Rose, Jeffrey P",19,3,16,3,1,0,1,1
"Toyota, Masatsugu",27,17,10,1,0,0,0,0
"Zhang, Zhou",61,50,11,5,0,0,0,0
"Barak, Jeri D",20,20,0,0,0,0,0,0
"Fernandez, Donna E",10,9,1,1,0,0,0,0
"Gaspar, Adam P",8,6,2,1,0,0,0,0
"Koch, Paul L",41,25,16,4,3,3,0,0
"Kovaleski, Al P",14,10,4,1,1,1,0,0
"Picasso, Valentin D",38,34,4,3,1,1,0,0
"Renz, Mark J",23,19,4,3,0,0,0,0
"Sussman, Michael R",54,44,10,6,6,4,2,1
"Alptekin, Burcu",9,6,3,2,0,0,0,0
"Beck, Jared J",9,7,2,2,0,0,0,0
"Connolly, Brian M",22,3,19,3,0,0,0,0
"Couture, John J",18,10,8,2,1,1,0,0
"Dawson, Julie C",37,19,18,8,6,6,0,0
"Devi, Mura Jyostna",11,9,2,4,0,0,0,0
"Kaeppler, Heidi F",20,7,13,10,5,4,1,1
"Krieg, Christopher P",10,4,6,2,1,0,1,1
"Loarca, Jenyne",8,1,7,5,1,1,0,0
"Mishra, Divya",5,4,1,1,0,0,0,0
"Mourtzinis, Spyridon",58,41,17,6,0,0,0,0
"Palta, Jiwan P",32,20,12,7,0,0,0,0
"Raffa, Kenneth F",58,43,15,6,0,0,0,0
"Smith, Damon L",94,59,35,12,3,3,0,0
"Soldat, Douglas J",38,32,6,3,0,0,0,0
"Tanumihardjo, Sherry A",124,118,6,1,0,0,0,0
"Tilhou, Neal Wepking",15,6,9,3,0,0,0,0
"Tiwari, Manish",13,10,3,2,0,0,0,0
"Baum, David A",38,37,1,1,2,2,0,0
"Bethke, Paul C",29,14,15,6,0,0,0,0
"Casler, Michael D",56,26,30,7,0,0,0,0
"Chin, Sabrina",6,3,3,1,3,0,3,1
"Davis, Vince M",16,14,2,2,0,0,0,0
"Hartemink, Alfred E",105,103,2,3,2,2,0,0
"Jahn, Molly M",19,17,2,2,0,0,0,0
"KeefoverRing, Ken",44,27,17,6,0,0,0,0
"Keller, Nancy P",196,187,9,5,2,2,0,0
"Li, Zhengzhen",21,13,8,4,0,0,0,0
"Marburger, David A",13,2,11,4,0,0,0,0
"Pace, Matthew C",10,7,3,3,0,0,0,0
"Patterson, Sara E",8,6,2,2,0,0,0,0
"Ravindran, Prabu",16,5,11,2,0,0,0,0
"RubertNason, Kennedy F",20,10,10,5,0,0,0,0
"Sytsma, Kenneth J",34,15,19,4,2,1,1,1
"Wang, Yi",63,50,13,13,0,0,0,0
"WillWolf, Susan",12,11,1,1,0,0,0,0
"Woods, Daniel P",13,0,13,3,0,0,0,0
"Yokoyama, Ryo",7,0,7,3,0,0,0,0
"Arevalo, Rafael",3,1,2,1,0,0,0,0
"Bedair, Heba",3,3,0,0,0,0,0,0
"Bingham, Edwin",5,5,0,0,0,0,0,0
"Bolling, Bradley W",51,51,0,0,4,4,0,0
"Brainard, Scott H",6,0,6,4,1,1,0,0
"Buhl, Christine",3,3,0,0,0,0,0,0
"Butler, Nathaniel M",9,3,6,2,0,0,0,0
"Chaiyakunapruk, Nathorn",111,111,0,0,0,0,0,0
"Chou, MingYi",8,0,8,2,0,0,0,0
"Cope, Olivia L",5,2,3,2,0,0,0,0
"Currie, Cameron R",102,69,33,7,1,1,0,0
"Delaux, PierreMarc",10,1,9,4,0,0,0,0
"ElAzaz, Jorge",7,0,7,3,0,0,0,0
"Freed, Catherine",4,4,0,0,1,1,0,0
"Gasch, Audrey P",64,62,2,2,1,1,0,0
"Gianola, Daniel",51,50,1,2,0,0,0,0
"Graham, Linda E",24,23,1,1,0,0,0,0
"Guedot, Christelle",54,44,10,3,2,2,0,0
"Guiden, Peter W",14,1,13,5,0,0,0,0
"Hamers, Robert J",153,151,2,1,8,8,0,0
"Henn, Jonathan J",12,7,5,5,0,0,0,0
"Ikeda, Shinya",22,17,5,4,0,0,0,0
"Ladwig, Laura M",14,9,5,3,1,1,0,0
"Lankau, Richard A",30,29,1,2,4,3,1,1
"Li, Lingjun",296,287,9,5,5,2,3,2
"Liu, Bing",7,5,2,2,0,0,0,0
"Lu, Fachuang",51,12,39,6,0,0,0,0
"Malone, Shealyn C",8,6,2,2,0,0,0,0
"Mansfield, Shawn D",28,2,26,7,0,0,0,0
"Matias, Filipe Inacio",8,5,3,1,0,0,0,0
"McCulloh, Katherine A",45,34,11,5,4,1,3,3
"Moore, Bethany M",10,5,5,4,0,0,0,0
"Muir, Christopher D",7,7,0,0,2,2,0,0
"Orrock, John L",80,52,28,6,6,6,0,0
