,"Islam, M Anowarul","Zheljazkov, Valtcho D","Weinig, Cynthia","Dhekney, Sadanand A","Guadagno, Carmela Rosaria","Salmela, Matti J","Kniss, Andrew R","Laughlin, Daniel C","Wilcox, Kevin R","Pappas, Gregory S","Baker, Robert L","Park, Eunsook","AzevedoSchmidt, Lauren","Butrim, Matthew J","Harrison, Joshua G"
"Islam, M Anowarul",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Zheljazkov, Valtcho D",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Weinig, Cynthia",0.0,0.0,0.0,0.0,8.0,6.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0
"Dhekney, Sadanand A",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Guadagno, Carmela Rosaria",0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Salmela, Matti J",0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kniss, Andrew R",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Laughlin, Daniel C",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
"Wilcox, Kevin R",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pappas, Gregory S",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Baker, Robert L",0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Park, Eunsook",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AzevedoSchmidt, Lauren",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Butrim, Matthew J",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Harrison, Joshua G",0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
