Outcome,Model,Shapiro_p,Predictor,beta,p_value,R2,n,significance
degree_centrality,Gamma GLM,1.0506723994115558e-05,EdgesPerNode,0.7230800921900602,1.249108694794245e-16,0.5563492487830592,43,***
degree_centrality,Gamma GLM,1.0506723994115558e-05,clique_integration,2.2461921442916535,1.370753001958793e-06,0.34684366969998204,43,***
degree_centrality,Gamma GLM,1.0506723994115558e-05,global_efficiency,7.2761025890070945,1.6570662730594533e-09,0.3589148487294096,43,***
degree_centrality,Gamma GLM,1.0506723994115558e-05,local_efficiency,4.245637841780836,8.154140093999892e-07,0.2666951875512429,43,***
eigenvector_centrality,Gamma GLM,8.341954318236498e-07,EdgesPerNode,1.4450169941318807,4.0644554235294295e-22,0.12596696450332778,51,***
eigenvector_centrality,Gamma GLM,8.341954318236498e-07,clique_integration,3.967517515170228,3.0089771766421283e-07,0.07270910286386001,51,***
eigenvector_centrality,Gamma GLM,8.341954318236498e-07,global_efficiency,14.52503625605344,2.097554508159798e-17,0.09733663171871254,51,***
eigenvector_centrality,Gamma GLM,8.341954318236498e-07,local_efficiency,9.788023494234592,4.842729321352274e-21,0.09577652345168663,51,***
closeness_centrality,Gamma GLM,3.389622415744927e-06,EdgesPerNode,0.17682506233072914,3.1673540769859807e-13,0.5394478706520027,43,***
closeness_centrality,Gamma GLM,3.389622415744927e-06,clique_integration,0.5790197193844182,3.3537450476283775e-06,0.32965379416445006,43,***
closeness_centrality,Gamma GLM,3.389622415744927e-06,global_efficiency,1.7306343283339025,8.985668569869627e-07,0.34111331135576306,43,***
closeness_centrality,Gamma GLM,3.389622415744927e-06,local_efficiency,0.908106764014796,0.0006249214506820682,0.19843768984735255,43,***
betweenness_centrality,Gamma GLM,8.930665609423205e-07,EdgesPerNode,0.24132888655574655,0.1238478667405889,0.043663309304289744,38,
betweenness_centrality,Gamma GLM,8.930665609423205e-07,clique_integration,0.9080601288942338,0.16303363528888193,0.03521689913514481,38,
betweenness_centrality,Gamma GLM,8.930665609423205e-07,global_efficiency,1.1497821984300092,0.5891216089640703,0.004410318058320817,38,
betweenness_centrality,Gamma GLM,8.930665609423205e-07,local_efficiency,1.955510430405774,0.10589989579046814,0.04232349633110832,38,
clustering,Gamma GLM,1.45293734795055e-06,EdgesPerNode,0.06715939276838215,0.35033188822729033,0.020623970722694063,30,
clustering,Gamma GLM,1.45293734795055e-06,clique_integration,0.2628462559951966,0.36687214080691277,0.01909858331742509,30,
clustering,Gamma GLM,1.45293734795055e-06,global_efficiency,0.3246841968011683,0.7451063708849361,0.0023613563828979167,30,
clustering,Gamma GLM,1.45293734795055e-06,local_efficiency,0.4692919641701925,0.4248934982450395,0.014484815025736397,30,
