,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95
Alaska,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
Arizona,36.0,36.0,35.0,35.0,33.0,33.0,32.0,28.0
Auburn,30.0,30.0,30.0,30.0,29.0,26.0,26.0,24.0
Clemson,27.0,26.0,24.0,23.0,22.0,21.0,21.0,20.0
ColoradoState,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0
Connecticut,31.0,31.0,33.0,33.0,35.0,36.0,36.0,38.0
Cornell,41.0,41.0,41.0,41.0,40.0,40.0,40.0,39.0
Delaware,26.0,28.0,29.0,29.0,30.0,31.0,33.0,33.0
Florida,11.0,11.0,11.0,10.0,9.0,7.0,6.0,6.0
Georgia,9.0,10.0,10.0,11.0,11.0,10.0,8.0,7.0
Hawaii,22.0,23.0,23.0,26.0,26.0,27.0,29.0,35.0
Idaho,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
Illinois,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
IowaState,10.0,9.0,9.0,8.0,7.0,5.0,5.0,5.0
KState,5.0,5.0,6.0,5.0,5.0,8.0,10.0,10.0
Kentucky,33.0,33.0,32.0,31.0,31.0,30.0,27.0,26.0
LouisianaState,43.0,43.0,43.0,42.0,42.0,42.0,42.0,42.0
MU,6.0,7.0,7.0,7.0,6.0,6.0,7.0,9.0
Maine,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
Maryland,40.0,40.0,40.0,40.0,41.0,41.0,41.0,41.0
Massachusetts,42.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0
Michigan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Minnesota,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0
Mississippi,29.0,27.0,26.0,24.0,24.0,22.0,22.0,21.0
MontanaState,19.0,18.0,19.0,20.0,21.0,23.0,24.0,25.0
Nebraska,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Nevada,34.0,34.0,36.0,36.0,37.0,37.0,39.0,40.0
NewHampshire,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
NewMexico,39.0,39.0,39.0,38.0,38.0,38.0,37.0,36.0
NorthCarolina,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NorthDakota,25.0,25.0,25.0,25.0,25.0,24.0,23.0,23.0
OKState,28.0,29.0,28.0,28.0,27.0,28.0,28.0,31.0
OhioState,37.0,37.0,37.0,37.0,36.0,35.0,35.0,30.0
Oregon,32.0,32.0,31.0,32.0,32.0,32.0,31.0,29.0
PennState,16.0,16.0,16.0,16.0,16.0,18.0,19.0,22.0
Purdue,8.0,8.0,8.0,9.0,10.0,9.0,9.0,8.0
RhodeIsland,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
Rutgers,38.0,38.0,38.0,39.0,39.0,39.0,38.0,37.0
SouthDakota,35.0,35.0,34.0,34.0,34.0,34.0,34.0,32.0
TexasA&M,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
UArk,20.0,20.0,18.0,18.0,18.0,16.0,16.0,16.0
UCDavis,3.0,4.0,5.0,6.0,8.0,11.0,11.0,11.0
UCRiver,18.0,19.0,21.0,22.0,23.0,25.0,25.0,27.0
UTenn,21.0,21.0,20.0,19.0,19.0,19.0,18.0,17.0
UtahState,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
Vermont,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
VirginiaTech,23.0,22.0,22.0,21.0,20.0,20.0,20.0,19.0
WashState,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
WestVirginia,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
Wisconsin,7.0,6.0,4.0,4.0,3.0,3.0,3.0,3.0
Wyoming,24.0,24.0,27.0,27.0,28.0,29.0,30.0,34.0
